Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,0.00000000e+00
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,0.00000000e+00
7,30,1,3.53174121e-01
8,30,1,2.06355563e+01
9,30,1,2.67879355e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,4.44632280e+00
13,30,1,5.33000269e+00
14,30,1,4.16384938e-02
15,30,1,3.13485464e+03
16,30,1,8.57084009e-01
17,30,1,3.04337551e+01
18,30,1,4.86844782e+01
19,30,1,1.28687456e+00
20,30,1,9.14383047e+00
21,30,1,3.00000000e+02
22,30,1,1.13533271e+02
23,30,1,2.93138647e+03
24,30,1,2.00005009e+02
25,30,1,2.38918793e+02
26,30,1,2.00000000e+02
27,30,1,3.00054143e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.37668117e-07
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,0.00000000e+00
7,30,2,6.41481208e-01
8,30,2,2.06124175e+01
9,30,2,2.79468723e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,4.37281126e+00
13,30,2,4.23789577e+00
14,30,2,8.32772589e-02
15,30,2,2.60897834e+03
16,30,2,9.09668830e-01
17,30,2,3.04337483e+01
18,30,2,4.80275876e+01
19,30,2,1.38907092e+00
20,30,2,9.61742059e+00
21,30,2,3.00000000e+02
22,30,2,1.08088144e+02
23,30,2,2.46006674e+03
24,30,2,2.00007967e+02
25,30,2,2.32220963e+02
26,30,2,2.00000000e+02
27,30,2,3.05566279e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,4.17726354e-01
8,30,3,2.09987371e+01
9,30,3,2.82712233e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,5.25210750e+00
13,30,3,8.87497738e+00
14,30,3,4.16384950e-02
15,30,3,2.52568110e+03
16,30,3,6.67241873e-01
17,30,3,3.04337483e+01
18,30,3,5.26132443e+01
