Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,1.79176248e-04
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,1.19422964e-07
7,30,1,1.04118528e-01
8,30,1,2.08473106e+01
9,30,1,2.51460783e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,3.27042350e+00
13,30,1,7.48602767e+00
14,30,1,1.04096234e-01
15,30,1,2.57699764e+03
16,30,1,1.05714863e+00
17,30,1,3.04337551e+01
18,30,1,5.03097054e+01
19,30,1,1.26241055e+00
20,30,1,9.46293818e+00
21,30,1,3.00000000e+02
22,30,1,1.06452597e+02
23,30,1,2.71738481e+03
24,30,1,2.00079835e+02
25,30,1,2.41946959e+02
26,30,1,2.00000000e+02
27,30,1,3.00799739e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,2.59988481e-07
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,2.69521509e-06
7,30,2,6.39102941e-01
8,30,2,2.04904290e+01
9,30,2,2.68134044e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,2.40779190e+00
13,30,2,4.44643280e+00
14,30,2,2.08192472e-02
15,30,2,2.47664478e+03
16,30,2,7.27245714e-01
17,30,2,3.04337483e+01
18,30,2,5.16662921e+01
19,30,2,1.12046878e+00
20,30,2,9.49493826e+00
21,30,2,3.00000000e+02
22,30,2,1.06452597e+02
23,30,2,2.55196516e+03
24,30,2,2.05032618e+02
25,30,2,2.42859842e+02
26,30,2,2.00000000e+02
27,30,2,3.06394220e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,3.07866299e-06
7,30,3,6.61550079e-01
8,30,3,2.09890383e+01
9,30,3,2.63847322e+01
10,30,3,7.39604033e-03
11,30,3,0.00000000e+00
12,30,3,7.37045470e+00
13,30,3,5.41588379e+00
14,30,3,8.32769951e-02
15,30,3,2.97070224e+03
16,30,3,1.12010754e+00
17,30,3,3.04337483e+01
18,30,3,5.47017965e+01
