Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,1.83348559e-04
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,1.72805143e-07
7,30,1,8.59789176e-01
8,30,1,2.07659573e+01
9,30,1,2.72752558e+01
10,30,1,9.85728461e-03
11,30,1,0.00000000e+00
12,30,1,5.31078971e+00
13,30,1,5.80782657e+00
14,30,1,4.16384940e-02
15,30,1,2.96015325e+03
16,30,1,7.90741600e-01
17,30,1,3.04337553e+01
18,30,1,5.02502920e+01
19,30,1,1.24393692e+00
20,30,1,9.57626380e+00
21,30,1,3.00000000e+02
22,30,1,1.10723677e+02
23,30,1,2.04961234e+03
24,30,1,2.00270743e+02
25,30,1,2.45277023e+02
26,30,1,2.00000000e+02
27,30,1,3.00076829e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,1.13207240e-04
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,3.57906258e-03
7,30,2,3.18348871e-03
8,30,2,2.10262829e+01
9,30,2,2.78638066e+01
10,30,2,0.00000000e+00
11,30,2,0.00000000e+00
12,30,2,5.48631851e+00
13,30,2,1.20722068e+01
14,30,2,8.32770023e-02
15,30,2,2.81701080e+03
16,30,2,5.59596243e-01
17,30,2,3.04337552e+01
18,30,2,4.86544815e+01
19,30,2,1.17435088e+00
20,30,2,8.65422838e+00
21,30,2,3.00000000e+02
22,30,2,1.09320854e+02
23,30,2,2.21565475e+03
24,30,2,2.00937299e+02
25,30,2,2.48327125e+02
26,30,2,2.00000000e+02
27,30,2,3.04818707e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,0.00000000e+00
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,4.46983515e-01
8,30,3,2.09282448e+01
9,30,3,2.49169759e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,7.28914829e+00
13,30,3,5.16176818e+00
14,30,3,8.32770321e-02
15,30,3,3.04775984e+03
16,30,3,1.12624679e+00
17,30,3,3.04337483e+01
18,30,3,5.30746526e+01
