Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,5.31903532e-04
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,1.59872892e-07
7,30,1,1.05317993e+00
8,30,1,2.07693627e+01
9,30,1,2.41743861e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,4.64778277e+00
13,30,1,4.20561126e+00
14,30,1,1.04096234e-01
15,30,1,3.36115345e+03
16,30,1,8.91664458e-01
17,30,1,3.04337484e+01
18,30,1,5.26539175e+01
19,30,1,1.12772215e+00
20,30,1,9.69572583e+00
21,30,1,3.00000000e+02
22,30,1,1.08929473e+02
23,30,1,2.15527817e+03
24,30,1,2.00111902e+02
25,30,1,2.36889605e+02
26,30,1,2.00000000e+02
27,30,1,3.00841113e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,4.14073524e-01
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,0.00000000e+00
7,30,2,8.37514033e-01
8,30,2,2.08811608e+01
9,30,2,2.59826511e+01
10,30,2,1.23160725e-02
11,30,2,0.00000000e+00
12,30,2,7.63171021e+00
13,30,2,5.47234239e+00
14,30,2,2.08392728e-02
15,30,2,2.95025255e+03
16,30,2,9.43418503e-01
17,30,2,3.04337483e+01
18,30,2,4.65375203e+01
19,30,2,1.06834452e+00
20,30,2,8.64190592e+00
21,30,2,3.00000000e+02
22,30,2,1.09132767e+02
23,30,2,2.66468432e+03
24,30,2,2.00219752e+02
25,30,2,2.39160467e+02
26,30,2,2.00000000e+02
27,30,2,3.24775571e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,1.21963893e-03
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,1.27065186e-08
7,30,3,2.78886020e-01
8,30,3,2.07521919e+01
9,30,3,2.46445042e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,5.14636957e+00
13,30,3,5.71302399e+00
14,30,3,4.16384987e-02
15,30,3,2.34066367e+03
16,30,3,2.86260420e-01
17,30,3,3.04337483e+01
18,30,3,5.52840002e+01
