Function,Dimension,Run,Error
1,30,1,0.00000000e+00
2,30,1,0.00000000e+00
3,30,1,4.49221578e-02
4,30,1,0.00000000e+00
5,30,1,0.00000000e+00
6,30,1,3.96869095e-08
7,30,1,6.88088147e-01
8,30,1,2.07187662e+01
9,30,1,2.37223799e+01
10,30,1,0.00000000e+00
11,30,1,0.00000000e+00
12,30,1,6.37735159e+00
13,30,1,4.58154558e+00
14,30,1,1.24915481e-01
15,30,1,2.80435474e+03
16,30,1,7.72046113e-01
17,30,1,3.04337483e+01
18,30,1,5.40175689e+01
19,30,1,1.11412519e+00
20,30,1,9.37023688e+00
21,30,1,3.00000000e+02
22,30,1,1.06464467e+02
23,30,1,2.66543847e+03
24,30,1,2.00001753e+02
25,30,1,2.44377871e+02
26,30,1,2.00000000e+02
27,30,1,3.00564782e+02
28,30,1,3.00000000e+02
1,30,2,0.00000000e+00
2,30,2,0.00000000e+00
3,30,2,4.46640537e-06
4,30,2,0.00000000e+00
5,30,2,0.00000000e+00
6,30,2,0.00000000e+00
7,30,2,4.43560929e-01
8,30,2,2.07150437e+01
9,30,2,2.77564318e+01
10,30,2,7.39604033e-03
11,30,2,0.00000000e+00
12,30,2,2.08642461e+00
13,30,2,4.36167202e+00
14,30,2,8.32769878e-02
15,30,2,3.08210892e+03
16,30,2,6.76315236e-01
17,30,2,3.04348826e+01
18,30,2,5.08752393e+01
19,30,2,1.29799482e+00
20,30,2,9.68526394e+00
21,30,2,2.00000000e+02
22,30,2,1.06459308e+02
23,30,2,1.74667593e+03
24,30,2,2.00004070e+02
25,30,2,2.42893822e+02
26,30,2,2.00000000e+02
27,30,2,3.20136999e+02
28,30,2,3.00000000e+02
1,30,3,0.00000000e+00
2,30,3,0.00000000e+00
3,30,3,6.39022961e-06
4,30,3,0.00000000e+00
5,30,3,0.00000000e+00
6,30,3,0.00000000e+00
7,30,3,7.70720501e-01
8,30,3,2.06885958e+01
9,30,3,2.91047605e+01
10,30,3,0.00000000e+00
11,30,3,0.00000000e+00
12,30,3,8.10116427e+00
13,30,3,3.47675858e+00
14,30,3,4.16384938e-02
15,30,3,2.56331287e+03
16,30,3,9.27530840e-01
17,30,3,3.04337551e+01
18,30,3,5.74370633e+01
