Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,8.23878821e+01
3,50,1,9.14352353e+03
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,1.75880342e+00
8,50,1,2.11553067e+01
9,50,1,5.16410280e+01
10,50,1,1.72262939e-02
11,50,1,0.00000000e+00
12,50,1,1.20508144e+01
13,50,1,4.16046200e+01
14,50,1,2.96734002e-01
15,50,1,6.76259666e+03
16,50,1,1.07389746e+00
17,50,1,5.08030222e+01
18,50,1,1.01745191e+02
19,50,1,2.67427227e+00
20,50,1,1.76170752e+01
21,50,1,1.12218576e+03
22,50,1,1.32913820e+01
23,50,1,5.02218564e+03
24,50,1,2.19457178e+02
25,50,1,2.69208371e+02
26,50,1,2.00002756e+02
27,50,1,3.55283117e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,7.06844933e+02
3,50,2,3.91707976e-02
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,9.33709878e+00
8,50,2,2.11071064e+01
9,50,2,5.32547418e+01
10,50,2,2.46370611e-02
11,50,2,0.00000000e+00
12,50,2,1.16046827e+01
13,50,2,2.73738729e+01
14,50,2,7.47553254e-01
15,50,2,6.56557635e+03
16,50,2,1.23866631e+00
17,50,2,5.07871159e+01
18,50,2,1.12177966e+02
19,50,2,2.67295112e+00
20,50,2,1.72054666e+01
21,50,2,1.12218576e+03
22,50,2,1.31828736e+01
23,50,2,5.63207837e+03
24,50,2,2.14777992e+02
25,50,2,2.69527409e+02
26,50,2,2.00002958e+02
27,50,2,4.64613224e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.81858086e+03
3,50,3,9.85182948e-01
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.16970609e+00
8,50,3,2.11328269e+01
9,50,3,4.96609370e+01
10,50,3,9.86467206e-03
11,50,3,0.00000000e+00
12,50,3,1.69780179e+01
13,50,3,2.06175430e+01
14,50,3,3.01189981e-01
15,50,3,6.51414253e+03
16,50,3,1.10979368e+00
17,50,3,5.08026762e+01
18,50,3,9.80569884e+01
19,50,3,2.48309798e+00
20,50,3,1.86348957e+01
21,50,3,2.00000000e+02
22,50,3,1.32269156e+01
23,50,3,5.60983152e+03
24,50,3,2.14006247e+02
25,50,3,2.81245495e+02
26,50,3,3.08251762e+02
27,50,3,4.51072973e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,3.95956061e+03
3,50,4,1.42373827e-01
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,3.47648123e+00
8,50,4,2.09095960e+01
9,50,4,5.46992435e+01
10,50,4,0.00000000e+00
11,50,4,0.00000000e+00
12,50,4,1.17151329e+01
13,50,4,2.57007023e+01
