Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,6.99056247e+02
3,50,1,2.38212098e+03
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,8.89882485e-01
8,50,1,2.09747256e+01
9,50,1,5.23059876e+01
10,50,1,0.00000000e+00
11,50,1,0.00000000e+00
12,50,1,1.38822636e+01
13,50,1,3.03734529e+01
14,50,1,2.87761349e-01
15,50,1,6.52423229e+03
16,50,1,1.21286959e+00
17,50,1,5.07911299e+01
18,50,1,9.73512692e+01
19,50,1,2.73304362e+00
20,50,1,1.84306521e+01
21,50,1,1.12218576e+03
22,50,1,1.66738601e+01
23,50,1,6.07715318e+03
24,50,1,2.13211063e+02
25,50,1,2.68274186e+02
26,50,1,2.00004768e+02
27,50,1,4.39991766e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,1.42741038e+03
3,50,2,3.33456881e-02
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,7.62106443e-01
8,50,2,2.07133473e+01
9,50,2,5.31358420e+01
10,50,2,0.00000000e+00
11,50,2,0.00000000e+00
12,50,2,1.72293650e+01
13,50,2,2.45933622e+01
14,50,2,2.87792909e-01
15,50,2,6.58976703e+03
16,50,2,1.38795134e+00
17,50,2,5.07868150e+01
18,50,2,9.91293240e+01
19,50,2,2.47166489e+00
20,50,2,1.77508574e+01
21,50,2,1.12218576e+03
22,50,2,1.30609028e+01
23,50,2,4.91464490e+03
24,50,2,2.04873050e+02
25,50,2,2.78045829e+02
26,50,2,2.00001598e+02
27,50,2,3.45767507e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.01535759e+03
3,50,3,1.98440728e+05
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.00810689e+00
8,50,3,2.10991011e+01
9,50,3,4.94560464e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.31988848e+01
13,50,3,2.35248854e+01
14,50,3,2.83785985e-01
15,50,3,6.54702267e+03
16,50,3,8.91332419e-01
17,50,3,5.07934137e+01
18,50,3,9.84744208e+01
19,50,3,2.47969552e+00
20,50,3,1.74611926e+01
21,50,3,1.12218576e+03
22,50,3,1.28150221e+01
23,50,3,5.89709571e+03
24,50,3,2.15238506e+02
25,50,3,2.84588029e+02
26,50,3,2.00000518e+02
27,50,3,4.98272026e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,1.88705057e+03
3,50,4,1.54068723e+03
4,50,4,2.50055196e-08
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,1.52258008e+00
8,50,4,2.11592336e+01
9,50,4,5.48884245e+01
10,50,4,9.85728461e-03
11,50,4,0.00000000e+00
12,50,4,1.85914533e+01
13,50,4,1.58263981e+01
14,50,4,3.07949488e-01
15,50,4,6.17772582e+03
16,50,4,1.34387822e+00
17,50,4,5.07891851e+01
18,50,4,1.01228682e+02
19,50,4,2.64339992e+00
20,50,4,1.75052879e+01
21,50,4,1.12218576e+03
22,50,4,1.28682092e+01
23,50,4,6.39625260e+03
24,50,4,2.11849116e+02
25,50,4,2.76627790e+02
26,50,4,2.00002824e+02
27,50,4,3.60137306e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.82412540e+02
3,50,5,1.48399651e-01
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,1.07184115e+00
8,50,5,2.08405738e+01
9,50,5,5.35684610e+01
10,50,5,2.70933961e-02
11,50,5,0.00000000e+00
12,50,5,1.88988135e+01
13,50,5,1.88552885e+01
14,50,5,2.43790136e-01
15,50,5,6.66573852e+03
16,50,5,1.38724904e+00
17,50,5,5.07972511e+01
18,50,5,1.03522290e+02
19,50,5,2.84347918e+00
20,50,5,1.80229276e+01
21,50,5,1.12218576e+03
22,50,5,1.64090384e+01
23,50,5,5.86179494e+03
24,50,5,2.11427664e+02
25,50,5,2.79032491e+02
26,50,5,2.00002021e+02
27,50,5,3.72009901e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,4.70593570e+01
3,50,6,2.18153496e+01
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,1.07855244e+00
8,50,6,2.11646540e+01
9,50,6,5.55426081e+01
10,50,6,1.72361119e-02
11,50,6,0.00000000e+00
12,50,6,1.04664260e+01
13,50,6,1.99789836e+01
14,50,6,6.02377039e-01
15,50,6,5.97267937e+03
16,50,6,1.19194362e+00
17,50,6,5.08060570e+01
18,50,6,9.34702034e+01
19,50,6,2.54043693e+00
20,50,6,1.82411702e+01
21,50,6,2.00000000e+02
22,50,6,1.64859331e+01
23,50,6,5.96461919e+03
24,50,6,2.15144669e+02
25,50,6,2.81347430e+02
26,50,6,2.00000856e+02
27,50,6,3.83984603e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
