Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,3.54674780e+03
3,50,1,7.95019547e+02
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,2.69839198e+00
8,50,1,2.08113242e+01
9,50,1,5.38010177e+01
10,50,1,9.85728461e-03
11,50,1,0.00000000e+00
12,50,1,1.72898610e+01
13,50,1,3.24967089e+01
14,50,1,2.23094359e-01
15,50,1,6.35398643e+03
16,50,1,1.46435077e+00
17,50,1,5.07946069e+01
18,50,1,1.01835839e+02
19,50,1,2.78197524e+00
20,50,1,1.79179935e+01
21,50,1,1.12218576e+03
22,50,1,1.43020796e+01
23,50,1,6.06205714e+03
24,50,1,2.09582481e+02
25,50,1,2.80447374e+02
26,50,1,2.00000983e+02
27,50,1,6.21302704e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.17768479e+02
3,50,2,3.61483743e+01
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,1.97359450e+00
8,50,2,2.11832995e+01
9,50,2,5.36765617e+01
10,50,2,9.85728461e-03
11,50,2,0.00000000e+00
12,50,2,1.33806694e+01
13,50,2,1.11773459e+01
14,50,2,2.65449076e-01
15,50,2,6.21990678e+03
16,50,2,8.86756209e-01
17,50,2,5.07886014e+01
18,50,2,1.10464335e+02
19,50,2,2.63672595e+00
20,50,2,1.79816395e+01
21,50,2,1.12218576e+03
22,50,2,1.40430513e+01
23,50,2,6.03395195e+03
24,50,2,2.15866630e+02
25,50,2,2.67371461e+02
26,50,2,2.00007944e+02
27,50,2,4.58522228e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,7.73535164e+03
3,50,3,1.14018352e+04
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,4.48058573e+00
8,50,3,2.11727561e+01
9,50,3,5.43759373e+01
10,50,3,7.39604033e-03
11,50,3,0.00000000e+00
12,50,3,1.60876492e+01
13,50,3,1.22158489e+01
14,50,3,3.59870922e-01
15,50,3,6.63629151e+03
16,50,3,1.55633071e+00
17,50,3,5.08094721e+01
18,50,3,1.05226941e+02
19,50,3,2.64811645e+00
20,50,3,1.76879838e+01
21,50,3,2.00000000e+02
22,50,3,1.38502372e+01
23,50,3,6.03125419e+03
24,50,3,2.26729944e+02
25,50,3,2.78067254e+02
26,50,3,2.00001867e+02
27,50,3,3.72612179e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,2.81476135e+03
3,50,4,5.34199538e+00
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,3.42029409e+00
8,50,4,2.11855261e+01
9,50,4,5.18361100e+01
10,50,4,0.00000000e+00
11,50,4,0.00000000e+00
12,50,4,1.72937289e+01
13,50,4,3.00045817e+01
14,50,4,2.79519104e-01
15,50,4,5.69926556e+03
16,50,4,1.30988334e+00
17,50,4,5.07871890e+01
18,50,4,1.18717708e+02
19,50,4,2.59441465e+00
20,50,4,1.78609752e+01
21,50,4,1.12218576e+03
22,50,4,1.53076162e+01
23,50,4,5.09745607e+03
24,50,4,2.12869392e+02
25,50,4,2.73221599e+02
26,50,4,2.00003286e+02
27,50,4,3.68381338e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.42855614e+03
3,50,5,4.66028906e+00
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,4.93910868e-01
8,50,5,2.10999053e+01
9,50,5,5.55505459e+01
10,50,5,7.39604033e-03
11,50,5,0.00000000e+00
12,50,5,1.20912269e+01
13,50,5,1.50374891e+01
14,50,5,5.34496544e-01
15,50,5,5.58155074e+03
16,50,5,1.04998418e+00
17,50,5,5.08285209e+01
18,50,5,1.01650015e+02
19,50,5,2.59346203e+00
20,50,5,1.83086637e+01
21,50,5,1.12218576e+03
22,50,5,1.48067983e+01
23,50,5,5.10637984e+03
24,50,5,2.04128483e+02
25,50,5,2.84194507e+02
26,50,5,2.00000569e+02
27,50,5,4.03058203e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.14282160e+03
3,50,6,2.15294645e+02
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,8.51015269e-01
8,50,6,2.10196475e+01
9,50,6,5.54273111e+01
10,50,6,7.39604033e-03
11,50,6,0.00000000e+00
12,50,6,1.43132406e+01
13,50,6,3.25695936e+01
14,50,6,2.43066161e-01
15,50,6,6.18590220e+03
16,50,6,1.45927814e+00
17,50,6,5.07989306e+01
18,50,6,9.03321178e+01
19,50,6,2.12621256e+00
20,50,6,1.79515309e+01
21,50,6,1.12218576e+03
22,50,6,1.49060133e+01
23,50,6,6.36348518e+03
24,50,6,2.04561135e+02
25,50,6,2.73193430e+02
26,50,6,3.05411758e+02
27,50,6,3.27061873e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.92029714e+02
3,50,7,2.10585749e+04
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,6.78418138e-01
8,50,7,2.08128939e+01
9,50,7,5.53618741e+01
10,50,7,7.39604033e-03
11,50,7,0.00000000e+00
12,50,7,1.48111010e+01
13,50,7,1.68772386e+01
14,50,7,1.31287882e+00
15,50,7,6.08274374e+03
16,50,7,1.07174603e+00
17,50,7,5.08210327e+01
18,50,7,1.17089345e+02
19,50,7,2.66442870e+00
20,50,7,1.80653741e+01
21,50,7,2.00000000e+02
22,50,7,1.28566249e+01
23,50,7,5.82572855e+03
24,50,7,2.03938967e+02
25,50,7,2.73559021e+02
26,50,7,3.02880777e+02
27,50,7,3.41383171e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,3.00258593e+03
3,50,8,5.83661849e+02
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,2.80500123e+00
8,50,8,2.10671115e+01
9,50,8,5.24220288e+01
10,50,8,7.39604033e-03
11,50,8,1.89438563e-08
12,50,8,1.66405730e+01
13,50,8,2.82471263e+01
14,50,8,7.14244049e-01
15,50,8,5.82533966e+03
16,50,8,1.28571594e+00
17,50,8,5.07879566e+01
18,50,8,9.92539196e+01
19,50,8,2.41095787e+00
20,50,8,1.77007606e+01
21,50,8,2.00000000e+02
22,50,8,1.38614450e+01
23,50,8,5.26302833e+03
24,50,8,2.02267785e+02
25,50,8,2.68694712e+02
26,50,8,3.01793419e+02
27,50,8,3.72369780e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,1.31782513e+03
3,50,9,1.88127801e+01
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,7.57788440e-01
8,50,9,2.09794740e+01
9,50,9,5.36940310e+01
10,50,9,7.39604033e-03
11,50,9,0.00000000e+00
12,50,9,1.50518445e+01
13,50,9,1.19653537e+01
14,50,9,1.05232611e+00
15,50,9,6.31882168e+03
16,50,9,1.01707474e+00
17,50,9,5.07883276e+01
18,50,9,9.95764818e+01
19,50,9,2.52624670e+00
20,50,9,1.81513751e+01
21,50,9,2.00000000e+02
22,50,9,1.55901115e+01
23,50,9,6.09814396e+03
24,50,9,2.14266829e+02
25,50,9,2.76760397e+02
26,50,9,3.04406085e+02
27,50,9,3.33221491e+02
28,50,9,4.00000000e+02
1,50,10,0.00000000e+00
2,50,10,6.66509929e+02
3,50,10,8.00652365e+04
4,50,10,1.32610472e-08
5,50,10,0.00000000e+00
6,50,10,4.34473315e+01
7,50,10,1.35761804e+00
8,50,10,2.11240172e+01
9,50,10,5.11881696e+01
10,50,10,1.23209889e-02
11,50,10,0.00000000e+00
12,50,10,1.69248016e+01
13,50,10,1.18117324e+01
14,50,10,2.33053755e-01
15,50,10,6.06094617e+03
16,50,10,2.11425471e-01
17,50,10,5.08013851e+01
18,50,10,1.04935077e+02
19,50,10,2.54197518e+00
20,50,10,1.81538281e+01
21,50,10,1.12218576e+03
22,50,10,1.35936570e+01
23,50,10,5.85184601e+03
24,50,10,2.07707755e+02
25,50,10,2.81686709e+02
26,50,10,2.00006142e+02
27,50,10,3.46042688e+02
28,50,10,4.00000000e+02
1,50,11,0.00000000e+00
2,50,11,3.53512224e+02
