Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,1.20303296e+03
3,50,1,2.56220039e+00
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,2.07222936e+00
8,50,1,2.09865245e+01
9,50,1,4.95524328e+01
10,50,1,7.39604033e-03
11,50,1,0.00000000e+00
12,50,1,1.20066782e+01
13,50,1,1.15950403e+01
14,50,1,3.46548462e-01
15,50,1,5.84402702e+03
16,50,1,1.23258552e+00
17,50,1,5.08000207e+01
18,50,1,1.00309375e+02
19,50,1,2.68063040e+00
20,50,1,1.80893386e+01
21,50,1,8.36442488e+02
22,50,1,1.52419322e+01
23,50,1,4.99546435e+03
24,50,1,2.13389499e+02
25,50,1,2.81134774e+02
26,50,1,3.03639706e+02
27,50,1,3.77182087e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.60603898e+02
3,50,2,2.11894243e-01
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,6.23492231e+00
8,50,2,2.11375985e+01
9,50,2,5.48859848e+01
10,50,2,1.96899980e-02
11,50,2,0.00000000e+00
12,50,2,1.32421748e+01
13,50,2,9.12025126e+00
14,50,2,2.26588711e-01
15,50,2,6.32370058e+03
16,50,2,1.12019513e+00
17,50,2,5.08017194e+01
18,50,2,1.03670428e+02
19,50,2,2.36526291e+00
20,50,2,1.74737751e+01
21,50,2,1.12218576e+03
22,50,2,1.38995811e+01
23,50,2,4.84907928e+03
24,50,2,2.08453138e+02
25,50,2,2.73803928e+02
26,50,2,3.03565202e+02
27,50,2,3.92636305e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,2.53283706e+03
3,50,3,3.67860689e+02
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.28159257e+00
8,50,3,2.10356924e+01
9,50,3,5.54265591e+01
10,50,3,9.85728461e-03
11,50,3,0.00000000e+00
12,50,3,1.15242729e+01
13,50,3,1.55635750e+01
14,50,3,2.86426143e-01
15,50,3,6.76489806e+03
16,50,3,1.01683990e+00
17,50,3,5.07879747e+01
18,50,3,1.08001123e+02
19,50,3,2.64389254e+00
20,50,3,1.80892705e+01
21,50,3,2.00000000e+02
22,50,3,1.58724665e+01
23,50,3,5.58567702e+03
24,50,3,2.11893066e+02
25,50,3,2.81559166e+02
26,50,3,3.07179546e+02
27,50,3,3.71587258e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,7.99426689e+02
3,50,4,3.61537959e+03
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,1.06416733e+00
8,50,4,2.08813963e+01
9,50,4,5.39848006e+01
10,50,4,1.72410209e-02
11,50,4,0.00000000e+00
12,50,4,1.75903657e+01
13,50,4,2.68439440e+01
14,50,4,1.10267448e+00
15,50,4,6.19779507e+03
16,50,4,1.13490662e+00
17,50,4,5.07955729e+01
18,50,4,9.98506102e+01
19,50,4,2.63820507e+00
20,50,4,1.81046134e+01
21,50,4,1.12218576e+03
22,50,4,1.67100206e+01
23,50,4,5.08422957e+03
24,50,4,2.15055716e+02
25,50,4,2.80284925e+02
26,50,4,2.00002978e+02
27,50,4,3.79200668e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.44289017e+02
3,50,5,9.04808600e+03
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,5.26282736e+00
8,50,5,2.10843704e+01
