Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,3.05556991e+01
3,50,1,6.88644698e-01
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,5.63195118e-01
8,50,1,2.11414349e+01
9,50,1,5.61477281e+01
10,50,1,9.85728461e-03
11,50,1,0.00000000e+00
12,50,1,1.90692801e+01
13,50,1,1.23228703e+01
14,50,1,8.51141031e-01
15,50,1,5.78398727e+03
16,50,1,1.35562831e+00
17,50,1,5.08001025e+01
18,50,1,1.06104111e+02
19,50,1,2.67463763e+00
20,50,1,1.82248225e+01
21,50,1,2.00000000e+02
22,50,1,1.71822553e+01
23,50,1,5.42912128e+03
24,50,1,2.13423216e+02
25,50,1,2.88175164e+02
26,50,1,3.02585310e+02
27,50,1,4.92373439e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,1.04221307e+03
3,50,2,9.14286001e-01
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,1.79622989e+00
8,50,2,2.11371545e+01
9,50,2,5.26029269e+01
10,50,2,0.00000000e+00
11,50,2,0.00000000e+00
12,50,2,1.16931680e+01
13,50,2,2.23822378e+01
14,50,2,2.93330124e-01
15,50,2,6.44362631e+03
16,50,2,1.58085535e+00
17,50,2,5.07966149e+01
18,50,2,1.00202981e+02
19,50,2,2.43663501e+00
20,50,2,1.74894852e+01
21,50,2,1.12218576e+03
22,50,2,1.50063213e+01
23,50,2,5.68116597e+03
24,50,2,2.08995272e+02
25,50,2,2.72623315e+02
26,50,2,3.02246227e+02
27,50,2,3.87607429e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.95367256e+03
3,50,3,5.84340076e+03
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.11934165e+00
8,50,3,2.09142236e+01
9,50,3,5.03958791e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.67554609e+01
13,50,3,2.70706232e+01
14,50,3,4.10878258e-01
15,50,3,6.05098507e+03
16,50,3,1.22034794e+00
17,50,3,5.07897686e+01
18,50,3,1.09146132e+02
19,50,3,2.40949795e+00
20,50,3,1.84640879e+01
21,50,3,1.12218576e+03
22,50,3,1.36220055e+01
23,50,3,5.63384543e+03
24,50,3,2.03955486e+02
25,50,3,2.70430249e+02
26,50,3,2.00012799e+02
27,50,3,4.46156734e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,6.06416703e+02
3,50,4,1.11589987e-01
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,8.79969128e-01
8,50,4,2.11348730e+01
9,50,4,5.28923309e+01
10,50,4,7.39604033e-03
11,50,4,0.00000000e+00
12,50,4,1.35969838e+01
13,50,4,1.95212309e+01
14,50,4,1.00909971e+00
15,50,4,5.81502976e+03
16,50,4,1.50134352e+00
17,50,4,5.07976715e+01
18,50,4,9.13839752e+01
19,50,4,2.59625945e+00
20,50,4,1.80053479e+01
21,50,4,1.12218576e+03
22,50,4,1.39208304e+01
23,50,4,5.41991744e+03
24,50,4,2.13420062e+02
25,50,4,2.78474288e+02
26,50,4,3.06087955e+02
27,50,4,4.08375680e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.45278122e+03
3,50,5,1.23824064e+04
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,1.09573918e+00
8,50,5,2.11510562e+01
9,50,5,5.11996369e+01
10,50,5,7.39604033e-03
11,50,5,0.00000000e+00
12,50,5,1.66684196e+01
13,50,5,2.41998206e+01
14,50,5,2.67589333e-01
15,50,5,6.40708903e+03
16,50,5,1.37127991e+00
17,50,5,5.07965623e+01
18,50,5,9.94277618e+01
19,50,5,2.83824747e+00
20,50,5,1.82873323e+01
21,50,5,1.12218576e+03
22,50,5,1.44880699e+01
23,50,5,5.40691124e+03
24,50,5,2.18560177e+02
25,50,5,2.76161237e+02
26,50,5,3.07992130e+02
27,50,5,5.04136107e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.66455931e+03
3,50,6,2.33640867e+00
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,5.26545512e-01
8,50,6,2.11312634e+01
9,50,6,5.36879661e+01
10,50,6,1.47724077e-02
11,50,6,0.00000000e+00
12,50,6,1.19855510e+01
13,50,6,2.44018389e+01
14,50,6,3.88734514e-01
15,50,6,6.18313026e+03
16,50,6,1.20530318e+00
17,50,6,5.08096135e+01
18,50,6,9.56980258e+01
19,50,6,2.67836828e+00
20,50,6,1.83648697e+01
21,50,6,1.12218576e+03
22,50,6,1.40931892e+01
23,50,6,5.02428342e+03
24,50,6,2.04094880e+02
25,50,6,2.73134477e+02
26,50,6,3.04274549e+02
27,50,6,4.28025710e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,2.54911726e+02
3,50,7,8.27569448e+02
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,4.41444315e+00
8,50,7,2.11272997e+01
9,50,7,5.05021662e+01
10,50,7,1.72262939e-02
11,50,7,0.00000000e+00
12,50,7,2.08364727e+01
13,50,7,1.37074107e+01
14,50,7,5.51612092e-01
15,50,7,6.93665946e+03
16,50,7,1.12201504e+00
17,50,7,5.07893412e+01
18,50,7,1.04281604e+02
19,50,7,2.70284760e+00
20,50,7,1.68773579e+01
21,50,7,2.00000000e+02
22,50,7,1.26575851e+01
23,50,7,4.84077485e+03
24,50,7,2.24840079e+02
25,50,7,2.83047340e+02
26,50,7,3.03233537e+02
27,50,7,4.00191408e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,1.19830375e+01
3,50,8,5.93510348e+02
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,1.32119188e+00
8,50,8,2.10618017e+01
9,50,8,5.33334278e+01
10,50,8,7.39604033e-03
11,50,8,0.00000000e+00
12,50,8,1.00415692e+01
13,50,8,3.02824524e+01
14,50,8,2.45045311e-01
15,50,8,6.13782498e+03
16,50,8,1.41427185e+00
17,50,8,5.07888888e+01
18,50,8,1.10331653e+02
19,50,8,2.83153867e+00
20,50,8,1.77964454e+01
21,50,8,1.12218576e+03
22,50,8,1.52358730e+01
23,50,8,5.41868732e+03
24,50,8,2.01877867e+02
25,50,8,2.76644274e+02
26,50,8,2.00002745e+02
27,50,8,3.33139814e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,1.63847413e+03
3,50,9,2.75393184e+03
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,3.15795954e+00
8,50,9,2.08679279e+01
9,50,9,5.44961270e+01
10,50,9,7.39604033e-03
11,50,9,0.00000000e+00
12,50,9,1.67488924e+01
13,50,9,1.89684020e+01
14,50,9,2.97019681e-01
15,50,9,6.10401438e+03
16,50,9,1.23110245e+00
17,50,9,5.07886700e+01
18,50,9,1.08103909e+02
19,50,9,2.58314909e+00
20,50,9,1.81725270e+01
21,50,9,1.12218576e+03
22,50,9,1.59004105e+01
23,50,9,5.25767432e+03
24,50,9,2.05568670e+02
25,50,9,2.68570868e+02
26,50,9,2.00001259e+02
27,50,9,5.41724048e+02
28,50,9,4.00000000e+02
1,50,10,0.00000000e+00
2,50,10,1.84519881e+03
3,50,10,3.41860492e+02
4,50,10,0.00000000e+00
5,50,10,0.00000000e+00
6,50,10,4.34473315e+01
7,50,10,1.23910408e+00
8,50,10,2.10855399e+01
