Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,1.73793740e+05
3,50,1,1.13756215e+07
4,50,1,9.01383050e-02
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,5.16632527e+01
8,50,1,2.09355473e+01
9,50,1,2.31900928e+01
10,50,1,2.21561437e-02
11,50,1,3.58187691e+01
12,50,1,1.43665499e+02
13,50,1,3.09843804e+02
14,50,1,2.53214162e+02
15,50,1,5.53885429e+03
16,50,1,6.30995406e-01
17,50,1,1.21742188e+02
18,50,1,1.64955886e+02
19,50,1,4.85695067e+00
20,50,1,1.86733207e+01
21,50,1,1.12218576e+03
22,50,1,4.13129580e+02
23,50,1,8.79591422e+03
24,50,1,2.85437483e+02
25,50,1,2.95570721e+02
26,50,1,3.57671122e+02
27,50,1,9.60350615e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.93597656e+04
3,50,2,2.23976207e+03
4,50,2,3.72235521e-02
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,2.89275838e+01
8,50,2,2.11639921e+01
9,50,2,5.19962313e+01
10,50,2,3.69605062e-02
11,50,2,0.00000000e+00
12,50,2,5.86563004e+01
13,50,2,2.27908899e+02
14,50,2,4.58846128e-01
15,50,2,5.36879345e+03
16,50,2,1.25793648e+00
17,50,2,5.08311130e+01
18,50,2,1.57190226e+02
19,50,2,2.75186388e+00
20,50,2,1.90361025e+01
21,50,2,8.36442488e+02
22,50,2,1.96179389e+01
23,50,2,6.48812105e+03
24,50,2,2.34922679e+02
25,50,2,3.67753068e+02
26,50,2,4.17400992e+02
27,50,2,1.50997701e+03
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,8.19125693e+05
3,50,3,9.66531927e+08
4,50,3,1.42270422e+03
5,50,3,0.00000000e+00
6,50,3,1.31205204e+01
7,50,3,3.68219924e+01
8,50,3,2.10798817e+01
9,50,3,2.59593836e+01
10,50,3,2.46444487e-02
11,50,3,2.26845238e+02
12,50,3,3.79135596e+02
13,50,3,2.72422126e+02
14,50,3,2.41261970e+02
15,50,3,7.07618201e+03
16,50,3,6.41255371e-01
17,50,3,5.08470081e+01
18,50,3,1.89269587e+02
19,50,3,4.81821219e+00
20,50,3,1.90246782e+01
21,50,3,8.36442488e+02
22,50,3,6.09335002e+02
23,50,3,6.96348612e+03
24,50,3,2.80776617e+02
25,50,3,3.09932465e+02
26,50,3,3.79916696e+02
27,50,3,9.32891413e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,8.91148149e+04
3,50,4,1.56674393e+05
4,50,4,1.10191097e-03
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,6.73612773e+00
8,50,4,2.10845942e+01
9,50,4,1.58169328e+01
10,50,4,0.00000000e+00
11,50,4,8.95460127e+00
12,50,4,3.58185612e+01
13,50,4,6.79338258e+01
14,50,4,1.30475733e+00
15,50,4,6.57518153e+03
16,50,4,1.10384263e+00
17,50,4,5.08346172e+01
18,50,4,1.10807189e+02
19,50,4,3.98192644e+00
20,50,4,1.96338273e+01
21,50,4,8.36442488e+02
22,50,4,1.67308081e+01
23,50,4,5.16831709e+03
24,50,4,2.57343163e+02
25,50,4,2.88350958e+02
26,50,4,2.00001536e+02
27,50,4,7.95653467e+02
28,50,4,3.33525309e+03
1,50,5,0.00000000e+00
2,50,5,1.20607223e+05
3,50,5,1.46687294e+05
4,50,5,2.78512746e+00
5,50,5,0.00000000e+00
6,50,5,1.34587298e+01
7,50,5,3.54521814e+00
8,50,5,2.11365740e+01
9,50,5,4.80082551e+01
10,50,5,7.39604033e-03
11,50,5,0.00000000e+00
