Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,1.13718817e+03
3,50,1,1.55746821e+03
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,2.28409385e+00
8,50,1,2.11144193e+01
9,50,1,5.43318750e+01
10,50,1,3.20134277e-02
11,50,1,0.00000000e+00
12,50,1,2.08935734e+01
13,50,1,3.16570197e+01
14,50,1,6.82639022e-01
15,50,1,6.48237720e+03
16,50,1,1.25981601e+00
17,50,1,5.07920219e+01
18,50,1,9.93264464e+01
19,50,1,2.50435695e+00
20,50,1,1.73179000e+01
21,50,1,1.12218576e+03
22,50,1,1.26892691e+01
23,50,1,5.51021946e+03
24,50,1,2.26299653e+02
25,50,1,2.68553161e+02
26,50,1,3.03303239e+02
27,50,1,3.89128424e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,2.01690393e+03
3,50,2,1.02636279e+04
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,7.56647050e-01
8,50,2,2.08500837e+01
9,50,2,5.36332963e+01
10,50,2,2.21856609e-02
11,50,2,0.00000000e+00
12,50,2,1.23273169e+01
13,50,2,1.51131087e+01
14,50,2,3.08769417e-01
15,50,2,5.96949782e+03
16,50,2,1.29371686e+00
17,50,2,5.08088337e+01
18,50,2,1.07169970e+02
19,50,2,2.98694516e+00
20,50,2,1.78942198e+01
21,50,2,1.12218576e+03
22,50,2,1.66362930e+01
23,50,2,5.45703481e+03
24,50,2,2.12105799e+02
25,50,2,2.79128963e+02
26,50,2,3.02066742e+02
27,50,2,3.87647265e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,2.15404038e+03
3,50,3,2.18713349e+04
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,2.11702354e+00
8,50,3,2.10977674e+01
9,50,3,5.26596617e+01
10,50,3,1.72361119e-02
11,50,3,0.00000000e+00
12,50,3,1.29601947e+01
13,50,3,1.20408074e+01
14,50,3,3.33569096e-01
15,50,3,6.40967707e+03
16,50,3,3.37627021e-01
17,50,3,5.08051025e+01
18,50,3,1.04958891e+02
19,50,3,2.60988219e+00
20,50,3,1.79476587e+01
21,50,3,1.12218576e+03
22,50,3,1.52768923e+01
23,50,3,5.29077464e+03
24,50,3,2.25447766e+02
25,50,3,2.74248391e+02
26,50,3,3.04090240e+02
27,50,3,4.24061980e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,3.42515866e+02
3,50,4,8.78121585e+03
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,2.71871549e+00
8,50,4,2.10324092e+01
9,50,4,5.59206444e+01
10,50,4,1.47797768e-02
11,50,4,2.84816224e-08
12,50,4,1.47307854e+01
13,50,4,2.72379545e+01
14,50,4,6.69697854e-01
15,50,4,6.93136034e+03
16,50,4,1.38341801e+00
17,50,4,5.08018568e+01
18,50,4,1.05840050e+02
19,50,4,2.66175600e+00
20,50,4,1.73922465e+01
21,50,4,2.00000000e+02
22,50,4,1.60884875e+01
23,50,4,6.36423796e+03
24,50,4,2.19401048e+02
25,50,4,2.75419221e+02
26,50,4,2.00001050e+02
27,50,4,3.50947650e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,2.26450626e+02
3,50,5,8.72662411e-04
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,1.78556127e+00
8,50,5,2.10936703e+01
9,50,5,5.51819384e+01
10,50,5,7.39604033e-03
11,50,5,0.00000000e+00
12,50,5,1.27545953e+01
13,50,5,3.61856528e+01
14,50,5,2.49246179e-01
15,50,5,5.92643907e+03
16,50,5,1.39528838e+00
17,50,5,5.08000914e+01
18,50,5,9.95594581e+01
19,50,5,2.50995748e+00
20,50,5,1.86363927e+01
21,50,5,1.12218576e+03
22,50,5,1.35304203e+01
23,50,5,5.80263642e+03
24,50,5,2.14770917e+02
25,50,5,2.72079797e+02
26,50,5,3.02538061e+02
27,50,5,4.31194307e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,4.57108388e+02
3,50,6,4.66084328e+04
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,1.89514388e+00
8,50,6,2.10646744e+01
9,50,6,4.77926256e+01
10,50,6,1.23160725e-02
11,50,6,1.34512881e-08
12,50,6,1.43056490e+01
13,50,6,2.16591517e+01
14,50,6,4.44567302e-01
15,50,6,6.80662673e+03
16,50,6,1.15577966e+00
17,50,6,5.08129019e+01
18,50,6,9.14017011e+01
19,50,6,2.47680870e+00
20,50,6,1.82084470e+01
21,50,6,2.00000000e+02
22,50,6,1.39102675e+01
23,50,6,5.69614917e+03
24,50,6,2.11266586e+02
25,50,6,2.81419772e+02
26,50,6,3.07775829e+02
27,50,6,3.54618141e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,8.70679892e+02
3,50,7,9.48900113e+03
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,1.75901481e+00
8,50,7,2.09359045e+01
9,50,7,5.41256240e+01
10,50,7,9.86467206e-03
11,50,7,0.00000000e+00
12,50,7,1.43569853e+01
13,50,7,1.73318739e+01
14,50,7,4.10951084e-01
15,50,7,5.88922743e+03
16,50,7,1.10044461e+00
17,50,7,5.08261393e+01
18,50,7,1.11167438e+02
19,50,7,2.59152104e+00
20,50,7,1.83265151e+01
21,50,7,2.00000000e+02
22,50,7,1.67391451e+01
23,50,7,5.76206309e+03
24,50,7,2.08113739e+02
25,50,7,2.73815657e+02
26,50,7,2.00003455e+02
27,50,7,4.09376455e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,5.70826989e+02
3,50,8,2.06150888e+00
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,2.36917578e+00
8,50,8,2.09832377e+01
9,50,8,5.40463210e+01
10,50,8,1.72410209e-02
11,50,8,0.00000000e+00
12,50,8,1.48372175e+01
13,50,8,1.87162985e+01
14,50,8,2.86915255e-01
15,50,8,6.08086520e+03
16,50,8,1.25926104e+00
17,50,8,5.08064698e+01
18,50,8,9.87581013e+01
19,50,8,2.47055239e+00
20,50,8,1.82405293e+01
21,50,8,1.12218576e+03
22,50,8,1.38542677e+01
23,50,8,5.53501413e+03
24,50,8,2.17046070e+02
25,50,8,2.79326609e+02
26,50,8,2.00007453e+02
27,50,8,4.94211478e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,9.85305466e+02
3,50,9,7.76124658e+00
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,1.82976795e+00
8,50,9,2.09332758e+01
9,50,9,5.11469261e+01
10,50,9,7.39604033e-03
11,50,9,0.00000000e+00
12,50,9,1.41855097e+01
13,50,9,3.11063631e+01
14,50,9,2.36085052e-01
15,50,9,6.69356402e+03
16,50,9,1.32528606e+00
17,50,9,5.08021057e+01
18,50,9,1.04789487e+02
19,50,9,2.53920209e+00
20,50,9,1.83381264e+01
21,50,9,1.12218576e+03
22,50,9,1.68671807e+01
23,50,9,5.51767491e+03
24,50,9,2.08666445e+02
25,50,9,2.87404265e+02
