Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,4.93764717e+02
3,50,1,1.53046527e+00
4,50,1,1.92416679e-05
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,6.42004133e-02
8,50,1,2.10744029e+01
9,50,1,5.44935142e+01
10,50,1,0.00000000e+00
11,50,1,0.00000000e+00
12,50,1,2.49760361e+01
13,50,1,5.19179351e+01
14,50,1,2.29932222e-01
15,50,1,6.41917228e+03
16,50,1,1.52532640e+00
17,50,1,5.07860986e+01
18,50,1,1.34697143e+02
19,50,1,2.78833090e+00
20,50,1,2.05397488e+01
21,50,1,2.00000000e+02
22,50,1,1.24060446e+01
23,50,1,6.74239420e+03
24,50,1,2.02366003e+02
25,50,1,3.62483516e+02
26,50,1,2.00005161e+02
27,50,1,1.62068264e+03
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,1.34171407e+02
3,50,2,1.35336634e+04
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,1.71586635e+00
8,50,2,2.09516867e+01
9,50,2,5.00083504e+01
10,50,2,2.95472820e-02
11,50,2,0.00000000e+00
12,50,2,3.32771514e+01
13,50,2,5.76718407e+01
14,50,2,2.06978265e-01
15,50,2,6.71453243e+03
16,50,2,1.09088358e+00
17,50,2,5.08005932e+01
18,50,2,1.25206397e+02
19,50,2,2.51716158e+00
20,50,2,1.88210194e+01
21,50,2,1.12218576e+03
22,50,2,1.54234710e+01
23,50,2,6.30707610e+03
24,50,2,2.06268018e+02
25,50,2,2.84285356e+02
26,50,2,2.02501636e+02
27,50,2,1.24964093e+03
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,6.15732286e+00
3,50,3,2.61545472e+03
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,2.21338585e+00
8,50,3,2.08791358e+01
9,50,3,5.06746599e+01
10,50,3,1.23209889e-02
11,50,3,1.25174873e-07
12,50,3,1.50505486e+01
13,50,3,2.17885390e+01
14,50,3,1.93164522e+00
15,50,3,6.67614464e+03
16,50,3,3.74955327e-01
17,50,3,5.07951553e+01
18,50,3,1.03018418e+02
19,50,3,2.59976899e+00
20,50,3,1.79165810e+01
21,50,3,2.00000000e+02
22,50,3,1.63526063e+01
23,50,3,5.43101657e+03
24,50,3,2.01828341e+02
25,50,3,2.70563678e+02
26,50,3,3.02093171e+02
27,50,3,3.37468290e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,1.18424606e+02
3,50,4,2.36345135e+04
4,50,4,9.95046929e-08
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,2.04039149e+00
8,50,4,2.11019443e+01
9,50,4,5.15192588e+01
10,50,4,1.23160725e-02
11,50,4,0.00000000e+00
12,50,4,1.95778102e+01
13,50,4,4.81473234e+01
14,50,4,2.65431250e-01
15,50,4,7.30558896e+03
16,50,4,1.25205632e+00
17,50,4,5.07872570e+01
18,50,4,1.10761320e+02
19,50,4,2.42333111e+00
20,50,4,1.91779501e+01
21,50,4,1.12218576e+03
22,50,4,1.66648916e+01
23,50,4,6.39017773e+03
24,50,4,2.05655632e+02
25,50,4,2.80536792e+02
26,50,4,2.00001251e+02
27,50,4,5.17906199e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.38922945e+02
3,50,5,9.51225594e+03
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,1.49682875e+00
8,50,5,2.11862836e+01
9,50,5,5.44456310e+01
10,50,5,9.86467206e-03
11,50,5,0.00000000e+00
12,50,5,1.30465433e+01
13,50,5,3.96885007e+01
14,50,5,1.71601907e-01
15,50,5,6.40651534e+03
16,50,5,3.49783532e+00
17,50,5,5.07953540e+01
18,50,5,1.07953208e+02
19,50,5,2.44618558e+00
20,50,5,1.78853911e+01
21,50,5,1.12218576e+03
22,50,5,1.40903934e+01
23,50,5,6.18989974e+03
24,50,5,2.05844235e+02
25,50,5,2.65501079e+02
26,50,5,2.00002779e+02
27,50,5,3.56934363e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.42285563e+02
3,50,6,7.97319446e+02
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,1.21628155e+00
8,50,6,2.11907903e+01
9,50,6,5.11500862e+01
10,50,6,1.23209889e-02
11,50,6,0.00000000e+00
12,50,6,1.68990515e+01
13,50,6,4.15555693e+01
14,50,6,3.79712135e-01
15,50,6,6.59535996e+03
16,50,6,6.20948499e-01
17,50,6,5.07857786e+01
18,50,6,1.23021631e+02
19,50,6,2.72675704e+00
20,50,6,1.76243883e+01
21,50,6,1.12218576e+03
22,50,6,1.19253890e+01
23,50,6,5.95551097e+03
24,50,6,2.05278573e+02
25,50,6,3.42175653e+02
26,50,6,2.00046244e+02
27,50,6,1.15600949e+03
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,5.43353001e+03
3,50,7,4.93156259e+02
4,50,7,3.31255993e-08
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,1.41744584e+00
8,50,7,2.09226300e+01
9,50,7,5.59146296e+01
10,50,7,1.72361119e-02
11,50,7,3.14778852e-08
12,50,7,1.25344043e+01
13,50,7,1.31173813e+01
14,50,7,5.12498082e+00
15,50,7,6.84554246e+03
16,50,7,5.14792348e-01
17,50,7,5.08410151e+01
18,50,7,9.81435470e+01
19,50,7,2.58488662e+00
20,50,7,1.80134368e+01
21,50,7,1.12218576e+03
22,50,7,1.76804885e+01
23,50,7,4.65488140e+03
24,50,7,2.24792768e+02
25,50,7,2.84179483e+02
26,50,7,3.08021825e+02
27,50,7,4.57068565e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,8.60579783e-01
3,50,8,1.46718753e+00
4,50,8,1.14207574e-08
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,1.53906864e-01
8,50,8,2.09996254e+01
9,50,8,5.39743413e+01
10,50,8,0.00000000e+00
11,50,8,0.00000000e+00
12,50,8,2.77922541e+01
13,50,8,5.85297834e+01
14,50,8,2.63552555e-01
15,50,8,6.44988260e+03
16,50,8,1.08042083e+00
17,50,8,5.07960346e+01
18,50,8,1.08232745e+02
19,50,8,2.85872789e+00
20,50,8,1.87110430e+01
21,50,8,2.00000000e+02
22,50,8,1.45735700e+01
23,50,8,5.48878001e+03
24,50,8,2.00943281e+02
25,50,8,3.47358828e+02
26,50,8,2.00040399e+02
27,50,8,4.74682553e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,1.12072426e+03
3,50,9,5.84505197e+01
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,3.40750617e+00
8,50,9,2.09106222e+01
9,50,9,5.57094717e+01
10,50,9,0.00000000e+00
11,50,9,0.00000000e+00
12,50,9,1.33572223e+01
13,50,9,7.46740170e+00
14,50,9,2.26410391e-01
15,50,9,6.57236396e+03
