Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,5.52775759e+02
3,50,1,1.87697877e+01
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,2.80173980e+00
8,50,1,2.09926771e+01
9,50,1,5.30229448e+01
10,50,1,9.85728461e-03
11,50,1,5.43006742e-08
12,50,1,1.80777420e+01
13,50,1,1.56264738e+01
14,50,1,2.42187867e-01
15,50,1,6.73150652e+03
16,50,1,6.00886030e-01
17,50,1,5.08070271e+01
18,50,1,9.75670833e+01
19,50,1,2.53822412e+00
20,50,1,1.73111450e+01
21,50,1,2.00000000e+02
22,50,1,2.05661909e+01
23,50,1,5.99184474e+03
24,50,1,2.02572745e+02
25,50,1,2.81046652e+02
26,50,1,3.01446878e+02
27,50,1,3.73602291e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.27916505e+01
3,50,2,5.49034451e-01
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,3.93409816e+00
8,50,2,2.09479611e+01
9,50,2,5.44323938e+01
10,50,2,3.20454164e-02
11,50,2,0.00000000e+00
12,50,2,1.12432958e+01
13,50,2,1.34055320e+01
14,50,2,3.01288192e-01
15,50,2,6.43775328e+03
16,50,2,1.39908412e+00
17,50,2,5.07984334e+01
18,50,2,1.12394942e+02
19,50,2,2.56379447e+00
20,50,2,1.69654564e+01
21,50,2,2.00000000e+02
22,50,2,1.31175239e+01
23,50,2,5.69150350e+03
24,50,2,2.04283852e+02
25,50,2,2.76672993e+02
26,50,2,2.00001138e+02
27,50,2,3.45691353e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,9.66714290e+02
3,50,3,7.82828775e-02
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,6.04241293e-01
8,50,3,2.10891442e+01
9,50,3,5.24432892e+01
10,50,3,1.23209889e-02
11,50,3,1.77600672e-08
12,50,3,9.35416128e+00
13,50,3,1.67914979e+01
14,50,3,7.15214684e-01
15,50,3,6.32183644e+03
16,50,3,1.57913495e+00
17,50,3,5.07870997e+01
18,50,3,8.73319956e+01
19,50,3,2.46176934e+00
20,50,3,1.69714662e+01
21,50,3,1.12218576e+03
22,50,3,1.53484758e+01
23,50,3,5.04128657e+03
24,50,3,2.05718753e+02
25,50,3,2.70434416e+02
26,50,3,2.00001404e+02
27,50,3,5.01035581e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,2.57124440e+02
3,50,4,1.66026121e+03
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,3.82154057e+00
8,50,4,2.10573110e+01
9,50,4,5.40484475e+01
10,50,4,9.85728461e-03
11,50,4,0.00000000e+00
12,50,4,1.66024745e+01
13,50,4,1.96571550e+01
14,50,4,2.48151750e-01
15,50,4,6.27800610e+03
16,50,4,4.11515886e-01
17,50,4,5.07905024e+01
18,50,4,1.09769678e+02
19,50,4,2.70030942e+00
20,50,4,1.88689280e+01
21,50,4,1.12218576e+03
22,50,4,1.36241370e+01
23,50,4,5.87376499e+03
24,50,4,2.03251045e+02
25,50,4,2.79276599e+02
26,50,4,2.00002037e+02
27,50,4,3.24733749e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,2.53501073e+02
3,50,5,7.50333590e+02
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,3.71380914e+00
8,50,5,2.09025177e+01
9,50,5,5.32444009e+01
10,50,5,9.86467206e-03
11,50,5,0.00000000e+00
12,50,5,1.28507115e+01
13,50,5,1.74358128e+01
14,50,5,2.98288097e-01
15,50,5,6.67555668e+03
16,50,5,1.27414705e+00
17,50,5,5.08018325e+01
18,50,5,1.12390523e+02
19,50,5,2.72267488e+00
20,50,5,1.63827100e+01
21,50,5,2.00000000e+02
22,50,5,1.30844162e+01
23,50,5,5.66691160e+03
24,50,5,2.09911257e+02
25,50,5,2.82335451e+02
26,50,5,3.02345233e+02
27,50,5,4.05557080e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,2.78451396e+03
3,50,6,2.63485978e-02
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,8.81889702e-01
8,50,6,2.11829746e+01
9,50,6,5.50873914e+01
10,50,6,0.00000000e+00
11,50,6,0.00000000e+00
12,50,6,1.42486668e+01
13,50,6,1.16077699e+01
14,50,6,3.29984834e-01
15,50,6,6.17683353e+03
16,50,6,1.20525861e+00
17,50,6,5.07961856e+01
18,50,6,1.08562912e+02
19,50,6,2.82665433e+00
20,50,6,1.67141207e+01
21,50,6,1.12218576e+03
22,50,6,1.30766088e+01
23,50,6,5.64902209e+03
24,50,6,2.16285784e+02
25,50,6,2.68655719e+02
26,50,6,3.06558634e+02
27,50,6,4.33478648e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,3.30640273e+02
3,50,7,7.52623259e+04
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,1.36364070e+00
8,50,7,2.07009206e+01
9,50,7,5.62729007e+01
10,50,7,9.85728461e-03
11,50,7,9.41143430e-07
12,50,7,1.26349333e+01
13,50,7,1.32781228e+01
14,50,7,3.00430329e-01
15,50,7,6.39151283e+03
16,50,7,1.37781683e+00
17,50,7,5.07863497e+01
18,50,7,1.17232296e+02
19,50,7,2.29812705e+00
20,50,7,1.82505317e+01
21,50,7,1.12218576e+03
22,50,7,1.28569652e+01
23,50,7,4.98478038e+03
24,50,7,2.11605380e+02
25,50,7,2.81767807e+02
26,50,7,2.00000287e+02
27,50,7,4.02502798e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,6.86825670e+01
3,50,8,8.43299480e+04
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,2.70647665e+00
8,50,8,2.11574456e+01
9,50,8,5.27925226e+01
10,50,8,9.86467206e-03
11,50,8,1.01663371e-08
12,50,8,1.73298115e+01
13,50,8,3.08398664e+01
14,50,8,3.37677400e-01
15,50,8,6.15883996e+03
16,50,8,1.23436112e+00
17,50,8,5.08144162e+01
18,50,8,1.01902741e+02
19,50,8,2.73239192e+00
20,50,8,1.83474234e+01
21,50,8,2.00000000e+02
22,50,8,1.60895997e+01
23,50,8,5.55915519e+03
24,50,8,2.15169895e+02
25,50,8,2.82559272e+02
26,50,8,2.00000908e+02
27,50,8,3.41087438e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,6.41922212e+02
3,50,9,1.04429962e+01
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,1.63262560e+00
8,50,9,2.10253047e+01
9,50,9,5.44695449e+01
10,50,9,1.23160725e-02
11,50,9,1.41704319e-08
12,50,9,1.48177059e+01
13,50,9,1.82793979e+01
14,50,9,2.70166598e-01
15,50,9,6.15509480e+03
16,50,9,1.25153873e+00
17,50,9,5.07939432e+01
18,50,9,1.03523721e+02
19,50,9,2.42522880e+00
20,50,9,1.86242085e+01
21,50,9,2.00000000e+02
22,50,9,1.44570646e+01
23,50,9,4.93965092e+03
24,50,9,2.16868651e+02
25,50,9,2.88640171e+02
26,50,9,3.04168998e+02
27,50,9,4.08144375e+02
28,50,9,4.00000000e+02
1,50,10,0.00000000e+00
2,50,10,3.20648477e+03
3,50,10,8.97196864e+01
4,50,10,0.00000000e+00
5,50,10,0.00000000e+00
6,50,10,4.34473315e+01
7,50,10,4.24073651e+00
8,50,10,2.10913421e+01
9,50,10,5.34730206e+01
10,50,10,7.39604033e-03
11,50,10,0.00000000e+00
12,50,10,1.29594996e+01
13,50,10,2.07858631e+01
14,50,10,4.44333867e-01
15,50,10,6.02565600e+03
16,50,10,1.22965050e+00
17,50,10,5.07882817e+01
18,50,10,9.94917826e+01
19,50,10,2.75704053e+00
20,50,10,1.80005788e+01
21,50,10,2.00000000e+02
22,50,10,1.65074891e+01
23,50,10,5.72098015e+03
24,50,10,2.11785232e+02
25,50,10,2.81511133e+02
26,50,10,3.02783668e+02
27,50,10,3.84839307e+02
28,50,10,4.00000000e+02
1,50,11,0.00000000e+00
2,50,11,1.18904079e+03
3,50,11,4.52427955e-01
4,50,11,0.00000000e+00
5,50,11,0.00000000e+00
6,50,11,4.34473315e+01
7,50,11,1.03582619e-01
8,50,11,2.09012286e+01
9,50,11,5.46244746e+01
10,50,11,1.72262939e-02
11,50,11,0.00000000e+00
12,50,11,1.47343856e+01
13,50,11,2.55141342e+01
14,50,11,3.32333516e-01
15,50,11,6.17368512e+03
16,50,11,1.31791146e+00
17,50,11,5.07860708e+01
18,50,11,1.12194299e+02
19,50,11,2.45281033e+00
20,50,11,1.76711738e+01
21,50,11,2.00000000e+02
22,50,11,1.39047440e+01
23,50,11,5.78443731e+03
24,50,11,2.03664731e+02
25,50,11,2.68046136e+02
26,50,11,2.00005528e+02
27,50,11,4.24766581e+02
28,50,11,4.00000000e+02
1,50,12,0.00000000e+00
2,50,12,6.35853748e+03
3,50,12,1.31207846e+03
4,50,12,0.00000000e+00
5,50,12,0.00000000e+00
6,50,12,4.34473315e+01
7,50,12,2.18785053e+00
8,50,12,2.09586979e+01
9,50,12,4.88741719e+01
10,50,12,0.00000000e+00
11,50,12,0.00000000e+00
12,50,12,1.37863939e+01
13,50,12,1.32305560e+01
14,50,12,7.28313290e-01
15,50,12,5.35539359e+03
16,50,12,1.60722782e+00
17,50,12,5.08104720e+01
18,50,12,1.03697069e+02
19,50,12,2.74171179e+00
20,50,12,1.80716212e+01
21,50,12,1.12218576e+03
22,50,12,1.58210312e+01
23,50,12,5.23516687e+03
24,50,12,2.08215416e+02
25,50,12,2.73014640e+02
26,50,12,3.02797301e+02
27,50,12,3.56006511e+02
28,50,12,4.00000000e+02
1,50,13,0.00000000e+00
2,50,13,1.98775696e+02
3,50,13,8.36076075e+02
4,50,13,0.00000000e+00
5,50,13,0.00000000e+00
6,50,13,4.34473315e+01
7,50,13,1.20905502e+00
8,50,13,2.09869535e+01
9,50,13,5.21119706e+01
10,50,13,7.39604033e-03
11,50,13,0.00000000e+00
12,50,13,1.39361893e+01
13,50,13,1.40059353e+01
14,50,13,4.73502737e-01
15,50,13,6.92107449e+03
16,50,13,1.50050457e+00
17,50,13,5.07957874e+01
18,50,13,1.05996290e+02
19,50,13,2.64486490e+00
20,50,13,1.78384537e+01
21,50,13,1.12218576e+03
22,50,13,1.55533917e+01
23,50,13,5.44340854e+03
24,50,13,2.09863761e+02
25,50,13,2.64347567e+02
26,50,13,2.00002736e+02
27,50,13,4.14207716e+02
28,50,13,4.00000000e+02
1,50,14,0.00000000e+00
2,50,14,7.18114330e+02
3,50,14,1.38790193e+00
4,50,14,0.00000000e+00
5,50,14,0.00000000e+00
6,50,14,4.34473315e+01
7,50,14,5.73061640e-01
8,50,14,2.09070001e+01
9,50,14,4.84489961e+01
10,50,14,0.00000000e+00
11,50,14,2.47668540e-07
12,50,14,1.50837227e+01
13,50,14,9.70657477e+00
14,50,14,4.82866072e-01
15,50,14,6.24623183e+03
16,50,14,1.61292375e+00
17,50,14,5.08007479e+01
18,50,14,9.73136753e+01
19,50,14,2.57966159e+00
20,50,14,1.78370065e+01
21,50,14,1.12218576e+03
22,50,14,1.26758352e+01
23,50,14,5.02113723e+03
24,50,14,2.05445544e+02
25,50,14,2.70898263e+02
26,50,14,2.00001561e+02
27,50,14,3.28228595e+02
28,50,14,4.00000000e+02
1,50,15,0.00000000e+00
2,50,15,2.19380012e+03
3,50,15,1.45885350e+03
4,50,15,0.00000000e+00
5,50,15,0.00000000e+00
6,50,15,4.34473315e+01
7,50,15,1.17890190e+00
8,50,15,2.11678674e+01
9,50,15,4.98392692e+01
10,50,15,9.86467206e-03
11,50,15,0.00000000e+00
12,50,15,1.38446950e+01
13,50,15,3.05460984e+01
14,50,15,5.48948440e-01
15,50,15,5.53075657e+03
16,50,15,1.52669655e+00
17,50,15,5.07863931e+01
18,50,15,1.00854493e+02
19,50,15,2.62948373e+00
20,50,15,1.80334324e+01
21,50,15,1.12218576e+03
22,50,15,1.34741260e+01
23,50,15,5.63312380e+03
24,50,15,2.11625339e+02
25,50,15,2.83453771e+02
26,50,15,2.00000790e+02
27,50,15,4.08488863e+02
28,50,15,4.00000000e+02
1,50,16,0.00000000e+00
2,50,16,2.77160843e+03
3,50,16,5.21696060e+03
4,50,16,0.00000000e+00
5,50,16,0.00000000e+00
6,50,16,4.34473315e+01
7,50,16,1.73182597e-01
8,50,16,2.09847871e+01
9,50,16,5.46184091e+01
10,50,16,1.23209889e-02
11,50,16,0.00000000e+00
12,50,16,1.41073047e+01
13,50,16,1.76959005e+01
14,50,16,4.47645965e-01
15,50,16,5.93566887e+03
16,50,16,1.29230622e+00
17,50,16,5.07901701e+01
18,50,16,1.01914898e+02
19,50,16,2.21220264e+00
20,50,16,1.81424278e+01
21,50,16,1.12218576e+03
22,50,16,1.37797239e+01
23,50,16,5.26369356e+03
24,50,16,2.11419598e+02
25,50,16,2.85570802e+02
26,50,16,3.07550759e+02
27,50,16,5.25298162e+02
28,50,16,4.00000000e+02
1,50,17,0.00000000e+00
2,50,17,2.11590077e+03
3,50,17,5.01707120e+01
4,50,17,0.00000000e+00
5,50,17,0.00000000e+00
6,50,17,4.34473315e+01
7,50,17,1.16149339e+00
8,50,17,2.11321426e+01
9,50,17,5.48366300e+01
10,50,17,2.46444487e-02
11,50,17,0.00000000e+00
12,50,17,1.58829576e+01
13,50,17,2.84251329e+01
14,50,17,2.45517545e-01
15,50,17,6.11529570e+03
16,50,17,1.40445144e+00
17,50,17,5.07874389e+01
18,50,17,1.00672751e+02
19,50,17,2.62656826e+00
20,50,17,1.87762682e+01
21,50,17,1.12218576e+03
22,50,17,1.57681071e+01
23,50,17,6.03526312e+03
24,50,17,2.11852953e+02
25,50,17,2.76686436e+02
26,50,17,2.00001548e+02
27,50,17,4.21027186e+02
28,50,17,4.00000000e+02
1,50,18,0.00000000e+00
2,50,18,2.69799842e+03
3,50,18,5.84939037e+03
4,50,18,0.00000000e+00
5,50,18,0.00000000e+00
6,50,18,4.34473315e+01
7,50,18,2.94109306e+00
8,50,18,2.08601390e+01
9,50,18,5.25138120e+01
10,50,18,9.85728461e-03
11,50,18,0.00000000e+00
12,50,18,1.80794679e+01
13,50,18,2.68941893e+01
14,50,18,4.58861598e-01
15,50,18,6.40930191e+03
16,50,18,1.52418326e+00
17,50,18,5.07900821e+01
18,50,18,9.74658997e+01
19,50,18,2.68494381e+00
20,50,18,1.74601353e+01
21,50,18,1.12218576e+03
22,50,18,1.42548562e+01
23,50,18,5.18162711e+03
24,50,18,2.16619130e+02
25,50,18,2.69627382e+02
26,50,18,2.00005922e+02
27,50,18,4.66934835e+02
28,50,18,4.00000000e+02
1,50,19,0.00000000e+00
2,50,19,3.65593558e+03
3,50,19,9.61997106e+00
4,50,19,0.00000000e+00
5,50,19,0.00000000e+00
6,50,19,4.34473315e+01
7,50,19,1.04271954e+00
8,50,19,2.11061731e+01
9,50,19,5.59885014e+01
10,50,19,3.20061104e-02
11,50,19,1.17116805e-08
12,50,19,1.39388771e+01
13,50,19,2.72086202e+01
14,50,19,4.02701842e-01
15,50,19,6.77616448e+03
16,50,19,1.46532530e+00
17,50,19,5.07867575e+01
18,50,19,1.03227513e+02
19,50,19,2.35280550e+00
20,50,19,1.83278664e+01
21,50,19,1.12218576e+03
22,50,19,1.48277908e+01
23,50,19,5.45827095e+03
24,50,19,2.05989014e+02
25,50,19,2.73283068e+02
26,50,19,2.00000468e+02
27,50,19,3.90616471e+02
28,50,19,4.00000000e+02
1,50,20,0.00000000e+00
2,50,20,1.66224974e+03
3,50,20,2.26555393e+05
4,50,20,0.00000000e+00
5,50,20,0.00000000e+00
6,50,20,4.34473315e+01
7,50,20,1.69445542e+00
8,50,20,2.11343798e+01
9,50,20,5.32689001e+01
10,50,20,0.00000000e+00
11,50,20,0.00000000e+00
12,50,20,1.36835351e+01
13,50,20,2.99353202e+01
14,50,20,5.90584751e-01
15,50,20,7.01098097e+03
16,50,20,1.09880740e+00
17,50,20,5.08054970e+01
18,50,20,9.84008156e+01
19,50,20,2.72094031e+00
20,50,20,1.81458945e+01
21,50,20,1.12218576e+03
22,50,20,1.55605985e+01
23,50,20,6.22175156e+03
24,50,20,2.16873111e+02
25,50,20,2.77434653e+02
26,50,20,2.00004290e+02
27,50,20,3.94142863e+02
28,50,20,4.00000000e+02
1,50,21,0.00000000e+00
2,50,21,4.05981483e+03
3,50,21,5.12544449e+03
4,50,21,0.00000000e+00
5,50,21,0.00000000e+00
6,50,21,4.34473315e+01
7,50,21,7.12777781e-01
8,50,21,2.10945546e+01
9,50,21,5.35458884e+01
10,50,21,9.85728461e-03
11,50,21,4.19200230e-08
12,50,21,1.48245723e+01
