Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,8.22294073e+05
3,50,1,7.77590750e+06
4,50,1,4.31372147e+01
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,7.74394264e+01
8,50,1,2.10952225e+01
9,50,1,5.32882764e+01
10,50,1,6.65323727e-02
11,50,1,1.59192438e+01
12,50,1,1.26414999e+02
13,50,1,1.96366401e+02
14,50,1,3.49905728e+02
15,50,1,7.44481530e+03
16,50,1,1.11765588e+00
17,50,1,5.07858117e+01
18,50,1,2.13241706e+02
19,50,1,2.69834322e+00
20,50,1,2.08450386e+01
21,50,1,8.36442488e+02
22,50,1,1.68850728e+01
23,50,1,6.47262847e+03
24,50,1,3.29313675e+02
25,50,1,3.58706760e+02
26,50,1,2.01351686e+02
27,50,1,1.58365615e+03
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,9.45062203e+05
3,50,2,2.60987047e+08
4,50,2,3.76500207e+03
5,50,2,0.00000000e+00
6,50,2,5.51847045e+01
7,50,2,1.24085667e+02
8,50,2,2.11696635e+01
9,50,2,2.81252648e+01
10,50,2,1.96899980e-02
11,50,2,1.53214632e+02
12,50,2,2.67357572e+02
13,50,2,1.83869320e+02
14,50,2,3.43403443e+02
15,50,2,1.08210255e+04
16,50,2,1.37480562e+00
17,50,2,2.09151988e+02
18,50,2,3.58543691e+02
19,50,2,2.66414419e+00
20,50,2,2.00662986e+01
21,50,2,2.00000000e+02
22,50,2,2.65625692e+02
23,50,2,9.56811660e+03
24,50,2,2.45526297e+02
25,50,2,2.99757875e+02
26,50,2,2.00064334e+02
27,50,2,1.07937719e+03
28,50,2,3.82911180e+03
1,50,3,0.00000000e+00
2,50,3,2.68551927e+03
3,50,3,2.52882856e+02
4,50,3,5.40799888e-06
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,3.91876718e+00
8,50,3,2.09400695e+01
9,50,3,4.67802736e+01
10,50,3,1.97194892e-02
11,50,3,1.98589363e-06
12,50,3,1.30476471e+01
13,50,3,8.70258980e+00
14,50,3,4.94887619e+00
15,50,3,6.05459233e+03
16,50,3,1.93284509e-01
17,50,3,5.08067838e+01
18,50,3,1.15793196e+02
19,50,3,2.52663377e+00
20,50,3,1.87977304e+01
21,50,3,1.12218576e+03
22,50,3,1.21039685e+01
23,50,3,6.78862587e+03
24,50,3,2.23020329e+02
25,50,3,2.79394325e+02
26,50,3,3.17527714e+02
27,50,3,8.15353632e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,5.32466152e+05
3,50,4,1.86586712e+08
4,50,4,1.37175279e+01
5,50,4,0.00000000e+00
6,50,4,1.51820851e+02
7,50,4,5.48132082e+01
8,50,4,2.10305742e+01
9,50,4,5.33193985e+01
10,50,4,1.23160725e-02
11,50,4,2.58688649e+01
12,50,4,3.85253212e+02
13,50,4,5.57222952e+02
14,50,4,1.41571524e+03
15,50,4,6.57538270e+03
16,50,4,1.30793659e+00
17,50,4,1.53912790e+02
18,50,4,5.31886815e+02
19,50,4,2.09019575e+01
20,50,4,1.87513262e+01
21,50,4,2.00000000e+02
22,50,4,6.26984994e+02
23,50,4,8.19712650e+03
24,50,4,3.13618296e+02
25,50,4,3.50178546e+02
26,50,4,3.66200624e+02
27,50,4,1.12232631e+03
28,50,4,5.98091449e+03
1,50,5,0.00000000e+00
2,50,5,5.57655205e+05
3,50,5,1.71890727e+07
4,50,5,2.48752246e-01
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,4.47308590e+01
8,50,5,2.08762725e+01
9,50,5,2.13018711e+01
10,50,5,2.95767736e-02
11,50,5,2.72595061e+02
12,50,5,1.03475586e+02
13,50,5,3.61015549e+02
14,50,5,1.19834280e+02
15,50,5,4.62075687e+03
16,50,5,4.52324991e-01
17,50,5,9.22478560e+01
18,50,5,4.74658231e+02
19,50,5,2.80622499e+00
20,50,5,1.91492374e+01
21,50,5,1.12218576e+03
22,50,5,5.03394163e+02
23,50,5,6.54534734e+03
24,50,5,2.58098680e+02
25,50,5,2.84178439e+02
26,50,5,2.00021020e+02
27,50,5,7.91587221e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,4.76912913e+05
3,50,6,1.30386000e+08
4,50,6,2.22797115e+01
5,50,6,0.00000000e+00
6,50,6,4.34473331e+01
7,50,6,6.74728488e+01
8,50,6,2.10590322e+01
9,50,6,5.42944847e+01
10,50,6,5.17329157e-02
11,50,6,0.00000000e+00
12,50,6,7.61327198e+01
13,50,6,1.76714995e+02
14,50,6,2.50274954e+00
15,50,6,6.59962968e+03
16,50,6,9.16052857e-01
17,50,6,5.07858585e+01
18,50,6,2.12481408e+02
19,50,6,3.31116491e+00
20,50,6,1.98967476e+01
21,50,6,1.12218576e+03
22,50,6,1.59426282e+01
23,50,6,6.76349145e+03
24,50,6,3.04156550e+02
25,50,6,3.55595156e+02
26,50,6,4.21064268e+02
27,50,6,1.68094411e+03
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.32120126e+07
3,50,7,7.75254719e+04
4,50,7,1.15372261e+05
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,5.24765364e+01
8,50,7,2.11108282e+01
9,50,7,4.16823099e+01
10,50,7,7.39604033e-03
11,50,7,8.05888981e+01
12,50,7,1.27759367e+02
13,50,7,3.67970528e+02
14,50,7,1.19565012e+02
15,50,7,6.16911080e+03
16,50,7,1.17877902e+00
17,50,7,5.07870154e+01
18,50,7,1.65416672e+02
19,50,7,2.72424043e+00
20,50,7,2.07160479e+01
21,50,7,8.36442488e+02
22,50,7,1.38129344e+02
23,50,7,6.37823659e+03
24,50,7,3.14952494e+02
25,50,7,3.70227369e+02
26,50,7,2.01659878e+02
27,50,7,1.62901056e+03
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,1.80532062e+05
3,50,8,4.24407793e+07
4,50,8,2.57157383e+03
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,4.73478801e+01
8,50,8,2.11244513e+01
9,50,8,5.17005403e+01
10,50,8,9.85728461e-03
11,50,8,0.00000000e+00
12,50,8,2.53670176e+02
13,50,8,2.22208071e+02
14,50,8,2.43965904e+02
15,50,8,6.83679971e+03
16,50,8,1.20437810e+00
17,50,8,3.88406445e+02
18,50,8,4.60432142e+02
19,50,8,2.52750983e+00
20,50,8,1.82942697e+01
21,50,8,2.00000000e+02
22,50,8,1.32783746e+02
23,50,8,5.79933812e+03
24,50,8,3.24821457e+02
25,50,8,3.57412365e+02
26,50,8,4.34510999e+02
27,50,8,1.66352171e+03
28,50,8,3.94840914e+03
1,50,9,0.00000000e+00
2,50,9,1.79697094e+04
3,50,9,7.24824294e+01
4,50,9,3.63598686e-02
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,6.85724061e-01
8,50,9,2.09305733e+01
9,50,9,5.07232391e+01
10,50,9,2.21267334e-02
11,50,9,0.00000000e+00
12,50,9,3.01592679e+01
13,50,9,1.25313217e+02
14,50,9,2.28547504e-01
15,50,9,8.79651930e+03
16,50,9,5.21242330e-01
17,50,9,5.07872744e+01
18,50,9,8.77190560e+01
19,50,9,2.84241564e+00
20,50,9,2.06143041e+01
21,50,9,1.12218576e+03
22,50,9,6.87354098e+01
23,50,9,9.14918073e+03
24,50,9,3.31535125e+02
25,50,9,3.63690480e+02
26,50,9,2.00003603e+02
27,50,9,7.27960157e+02
28,50,9,4.00000000e+02
1,50,10,0.00000000e+00
2,50,10,1.65246134e+05
3,50,10,1.11724324e+04
4,50,10,7.23654809e-01
5,50,10,0.00000000e+00
6,50,10,4.34473315e+01
7,50,10,5.97587645e+00
8,50,10,2.11442969e+01
9,50,10,2.09360982e+01
10,50,10,0.00000000e+00
11,50,10,1.64399253e-06
12,50,10,4.06788857e+01
13,50,10,1.73846505e+02
14,50,10,1.93744569e-01
15,50,10,7.08226777e+03
16,50,10,5.33324355e-01
17,50,10,5.07931957e+01
18,50,10,2.48727117e+02
19,50,10,2.72039149e+00
20,50,10,1.79803267e+01
21,50,10,1.12218576e+03
22,50,10,1.53777260e+01
23,50,10,6.82739112e+03
24,50,10,2.33922117e+02
25,50,10,2.69883580e+02
26,50,10,3.29285997e+02
27,50,10,7.73171495e+02
28,50,10,3.33328318e+03
1,50,11,0.00000000e+00
2,50,11,5.82320334e+04
3,50,11,3.79633965e+05
4,50,11,1.56340921e-01
5,50,11,0.00000000e+00
6,50,11,1.28654716e+01
7,50,11,2.71663931e+00
8,50,11,2.10258112e+01
9,50,11,2.43130176e+01
10,50,11,2.21512420e-02
11,50,11,8.95460125e+00
12,50,11,1.58706967e+02
13,50,11,2.10577979e+02
14,50,11,2.41116181e+02
15,50,11,6.21740049e+03
16,50,11,9.47530039e-01
17,50,11,5.08302905e+01
18,50,11,1.73720486e+02
19,50,11,2.80754552e+00
20,50,11,1.92999094e+01
21,50,11,1.12218576e+03
22,50,11,2.96572203e+02
23,50,11,6.09711083e+03
24,50,11,2.59631944e+02
25,50,11,2.86942257e+02
26,50,11,4.28499015e+02
27,50,11,8.45539046e+02
28,50,11,4.00000000e+02
1,50,12,0.00000000e+00
2,50,12,9.17976770e+04
3,50,12,2.86733977e+04
4,50,12,8.99777478e-01
5,50,12,0.00000000e+00
6,50,12,4.34473315e+01
7,50,12,6.43044314e+00
8,50,12,2.10463436e+01
9,50,12,4.93171821e+01
10,50,12,0.00000000e+00
11,50,12,0.00000000e+00
12,50,12,7.20340404e+01
13,50,12,1.57307688e+02
14,50,12,3.14801498e-01
15,50,12,6.43254489e+03
16,50,12,1.15945763e+00
17,50,12,5.08087897e+01
18,50,12,1.98182285e+02
19,50,12,2.56628870e+00
20,50,12,1.92164160e+01
21,50,12,2.00000000e+02
22,50,12,1.64685688e+01
23,50,12,5.09504285e+03
24,50,12,2.39301016e+02
25,50,12,2.77127827e+02
26,50,12,3.47233372e+02
27,50,12,8.08485157e+02
28,50,12,4.00000000e+02
1,50,13,0.00000000e+00
2,50,13,2.85795133e+05
3,50,13,1.21727697e+07
4,50,13,7.04603286e+02
5,50,13,0.00000000e+00
6,50,13,2.15127021e+01
7,50,13,1.24636653e+01
8,50,13,2.09890568e+01
9,50,13,2.30038142e+01
10,50,13,2.21856609e-02
11,50,13,3.78079101e+01
12,50,13,3.11216800e+02
13,50,13,3.46076776e+02
14,50,13,2.37164426e+02
15,50,13,1.13269568e+04
16,50,13,1.16396040e+00
17,50,13,4.92844697e+02
18,50,13,5.28699381e+02
19,50,13,1.23215731e+01
20,50,13,1.97105910e+01
21,50,13,1.12218576e+03
22,50,13,1.69503895e+02
23,50,13,1.04307344e+04
24,50,13,2.66997113e+02
25,50,13,2.90414626e+02
26,50,13,2.00147942e+02
27,50,13,7.87806481e+02
28,50,13,4.00000000e+02
1,50,14,0.00000000e+00
2,50,14,5.51161826e+05
3,50,14,2.75586893e+07
4,50,14,2.53108481e+01
5,50,14,0.00000000e+00
6,50,14,7.26389452e+01
7,50,14,6.59936370e+01
8,50,14,2.09061662e+01
9,50,14,2.81559868e+01
10,50,14,2.95767736e-02
11,50,14,0.00000000e+00
12,50,14,1.21384777e+02
13,50,14,3.31303380e+02
14,50,14,6.67487481e+02
15,50,14,6.46246781e+03
16,50,14,1.31610157e+00
17,50,14,6.27739429e+02
18,50,14,2.60625519e+02
19,50,14,2.62349560e+00
20,50,14,1.93663849e+01
21,50,14,2.00000000e+02
22,50,14,4.67236208e+02
23,50,14,6.50892586e+03
24,50,14,2.66655423e+02
25,50,14,2.75088830e+02
26,50,14,3.55205471e+02
27,50,14,9.10726892e+02
28,50,14,3.97376693e+03
1,50,15,0.00000000e+00
2,50,15,1.41138256e+05
3,50,15,2.53911197e+06
4,50,15,1.40560066e+01
5,50,15,0.00000000e+00
6,50,15,4.91272754e+01
7,50,15,1.25175822e+01
8,50,15,2.10477467e+01
9,50,15,2.45360124e+01
10,50,15,3.20060695e-02
11,50,15,0.00000000e+00
12,50,15,1.18399835e+02
13,50,15,9.80688542e+01
14,50,15,2.49684281e+02
15,50,15,6.58533589e+03
16,50,15,7.31596133e-01
17,50,15,1.78425932e+02
18,50,15,3.00788942e+02
19,50,15,2.84102095e+00
20,50,15,1.81891617e+01
21,50,15,2.00000000e+02
22,50,15,3.78435998e+02
23,50,15,5.39952377e+03
24,50,15,2.55784998e+02
25,50,15,2.93880470e+02
26,50,15,3.62553280e+02
27,50,15,8.43459628e+02
28,50,15,3.95845239e+03
1,50,16,0.00000000e+00
2,50,16,1.61377498e+03
3,50,16,5.80285007e+01
4,50,16,1.41488261e-05
5,50,16,0.00000000e+00
6,50,16,4.34473315e+01
7,50,16,1.00271146e+00
8,50,16,2.09635083e+01
9,50,16,1.94162599e+01
10,50,16,7.39604033e-03
11,50,16,8.39010307e-04
12,50,16,3.57495762e+01
13,50,16,9.47587903e+01
14,50,16,1.18733077e+02
15,50,16,6.15903774e+03
16,50,16,2.92880575e-01
17,50,16,5.07931126e+01
18,50,16,1.26954665e+02
19,50,16,2.86992325e+00
20,50,16,1.93219728e+01
21,50,16,1.12218576e+03
22,50,16,2.24803057e+02
23,50,16,6.36484839e+03
24,50,16,2.00695440e+02
25,50,16,2.74987773e+02
26,50,16,2.00000577e+02
27,50,16,6.67297870e+02
28,50,16,3.29148459e+03
1,50,17,0.00000000e+00
2,50,17,2.22829836e+05
3,50,17,5.90643490e+05
4,50,17,1.72763548e+02
5,50,17,0.00000000e+00
6,50,17,4.34473315e+01
7,50,17,2.36833698e+01
8,50,17,2.10667224e+01
9,50,17,1.90931205e+01
10,50,17,0.00000000e+00
11,50,17,4.07929667e+01
12,50,17,1.41443914e+02
13,50,17,1.79722819e+02
14,50,17,1.21173924e+02
15,50,17,6.78861700e+03
16,50,17,9.44103310e-01
17,50,17,5.08365485e+01
18,50,17,2.55849940e+02
19,50,17,2.48924478e+00
20,50,17,2.09270295e+01
21,50,17,2.00000000e+02
22,50,17,2.26963049e+02
23,50,17,6.04338247e+03
24,50,17,2.17667915e+02
25,50,17,2.74265729e+02
26,50,17,3.47338555e+02
27,50,17,7.66780180e+02
28,50,17,3.43726767e+03
1,50,18,0.00000000e+00
2,50,18,1.22723241e+05
3,50,18,6.87742605e-01
4,50,18,4.61562792e-01
5,50,18,0.00000000e+00
6,50,18,4.91272754e+01
7,50,18,3.55053103e+01
8,50,18,2.07635432e+01
9,50,18,5.19573232e+01
10,50,18,0.00000000e+00
11,50,18,4.87519928e+01
12,50,18,8.82237302e+01
13,50,18,1.88948122e+02
14,50,18,2.47627694e-01
15,50,18,6.90395642e+03
16,50,18,1.12106243e+00
17,50,18,1.87149493e+02
18,50,18,1.34475159e+02
19,50,18,2.55037580e+00
20,50,18,1.77163287e+01
21,50,18,2.00000000e+02
22,50,18,2.94419382e+01
23,50,18,6.31183910e+03
24,50,18,2.42869388e+02
25,50,18,2.83014739e+02
26,50,18,2.00001415e+02
27,50,18,7.03181917e+02
28,50,18,4.00000000e+02
1,50,19,0.00000000e+00
2,50,19,8.08808256e+04
3,50,19,3.41199438e+04
4,50,19,1.47349106e-04
5,50,19,0.00000000e+00
6,50,19,4.34473315e+01
7,50,19,9.39980084e-01
8,50,19,2.11241512e+01
9,50,19,4.75096515e+01
10,50,19,0.00000000e+00
11,50,19,2.13954205e-08
12,50,19,1.47790436e+01
13,50,19,3.47183447e+01
14,50,19,1.18759033e+02
15,50,19,7.13367448e+03
16,50,19,1.09598190e+00
17,50,19,5.08227209e+01
18,50,19,1.11946798e+02
19,50,19,2.62847944e+00
20,50,19,1.85320190e+01
21,50,19,2.00000000e+02
22,50,19,1.67966798e+02
23,50,19,6.19446154e+03
24,50,19,2.43255797e+02
25,50,19,2.81812798e+02
26,50,19,2.00000457e+02
27,50,19,7.12626508e+02
28,50,19,4.00000000e+02
1,50,20,0.00000000e+00
2,50,20,1.55146293e+04
3,50,20,1.09639914e+08
4,50,20,5.36220409e-04
5,50,20,0.00000000e+00
6,50,20,4.34473315e+01
7,50,20,3.65102393e+00
8,50,20,2.10949928e+01
9,50,20,1.07140453e+01
10,50,20,1.23209889e-02
11,50,20,0.00000000e+00
12,50,20,9.45208008e+01
13,50,20,4.02928582e+01
14,50,20,1.18956493e+02
15,50,20,6.59121142e+03
16,50,20,1.31742702e+00
17,50,20,5.07994977e+01
18,50,20,1.48921367e+02
19,50,20,3.74634537e+00
20,50,20,1.83080223e+01
21,50,20,2.00000000e+02
22,50,20,2.24229046e+02
23,50,20,6.01928209e+03
24,50,20,2.65261065e+02
25,50,20,2.89170264e+02
26,50,20,3.58191516e+02
27,50,20,7.52011481e+02
28,50,20,3.94338515e+03
1,50,21,0.00000000e+00
2,50,21,5.29562625e+04
3,50,21,3.59312848e+01
4,50,21,7.59453368e-01
5,50,21,0.00000000e+00
6,50,21,4.91272754e+01
7,50,21,5.62547523e-01
8,50,21,2.11741491e+01
9,50,21,5.39817903e+01
10,50,21,9.86467206e-03
11,50,21,0.00000000e+00
12,50,21,1.21602722e+01
13,50,21,1.66759671e+02
14,50,21,1.91534310e-01
15,50,21,6.44888455e+03
16,50,21,1.26228950e+00
17,50,21,5.08135571e+01
18,50,21,3.55093522e+02
19,50,21,2.77847478e+00
20,50,21,1.79630478e+01
21,50,21,1.12218576e+03
22,50,21,1.22575109e+01
23,50,21,8.62964186e+03
24,50,21,3.29849668e+02
