Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,5.53935595e+02
3,50,1,2.18260284e+03
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,5.66619516e-01
8,50,1,2.09360359e+01
9,50,1,5.47675738e+01
10,50,1,2.46444487e-02
11,50,1,3.88858190e-08
12,50,1,1.27354169e+01
13,50,1,2.49535726e+01
14,50,1,1.77607898e+00
15,50,1,6.44731667e+03
16,50,1,1.44888667e+00
17,50,1,5.08100440e+01
18,50,1,1.10491746e+02
19,50,1,2.42231139e+00
20,50,1,1.74931788e+01
21,50,1,1.12218576e+03
22,50,1,1.29417267e+01
23,50,1,5.66277970e+03
24,50,1,2.18621350e+02
25,50,1,2.79505466e+02
26,50,1,2.00001352e+02
27,50,1,4.32776285e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,1.04816019e+02
3,50,2,3.43665633e+02
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,4.63230630e-01
8,50,2,2.08544434e+01
9,50,2,4.92773276e+01
10,50,2,1.23160725e-02
11,50,2,0.00000000e+00
12,50,2,1.96599625e+01
13,50,2,1.91219932e+01
14,50,2,6.16979130e-01
15,50,2,6.32742417e+03
16,50,2,1.10041977e+00
17,50,2,5.08096741e+01
18,50,2,1.04156540e+02
19,50,2,2.50150085e+00
20,50,2,1.84730264e+01
21,50,2,1.12218576e+03
22,50,2,1.37032658e+01
23,50,2,5.55277800e+03
24,50,2,2.03426586e+02
25,50,2,2.70561301e+02
26,50,2,3.13385017e+02
27,50,2,3.52178192e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,2.04582154e+02
3,50,3,4.36016282e+02
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,5.99010305e-01
8,50,3,2.11077187e+01
9,50,3,5.40108604e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.26759572e+01
13,50,3,1.53961177e+01
14,50,3,3.92740174e-01
15,50,3,6.62954649e+03
16,50,3,1.45142470e+00
17,50,3,5.07867380e+01
18,50,3,1.09440462e+02
19,50,3,2.75078818e+00
20,50,3,1.75373064e+01
21,50,3,1.12218576e+03
22,50,3,1.84909647e+01
23,50,3,5.31614770e+03
24,50,3,2.20556792e+02
25,50,3,2.87233167e+02
26,50,3,2.00002178e+02
27,50,3,3.73633474e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,1.03681791e+03
3,50,4,2.63234506e+03
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,1.52349769e+00
8,50,4,2.09609066e+01
9,50,4,5.56456377e+01
10,50,4,1.96899980e-02
11,50,4,3.93558128e-08
12,50,4,1.46867024e+01
13,50,4,1.80367012e+01
14,50,4,5.24138687e-01
15,50,4,5.81508628e+03
16,50,4,1.61467310e+00
17,50,4,5.07973526e+01
18,50,4,1.01781335e+02
19,50,4,2.35800011e+00
20,50,4,1.74102841e+01
21,50,4,2.00000000e+02
22,50,4,1.52280527e+01
23,50,4,5.20286514e+03
24,50,4,2.04791197e+02
25,50,4,2.75534810e+02
26,50,4,2.00003039e+02
27,50,4,3.23126131e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,3.31690759e+03
3,50,5,2.82424156e+03
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,4.41234997e+00
8,50,5,2.10191674e+01
9,50,5,5.11898911e+01
10,50,5,9.85728461e-03
11,50,5,0.00000000e+00
12,50,5,9.76963147e+00
13,50,5,2.17042579e+01
14,50,5,8.65919384e-01
15,50,5,6.51330265e+03
16,50,5,1.18086823e+00
17,50,5,5.07962678e+01
18,50,5,1.00779497e+02
19,50,5,2.66374143e+00
20,50,5,1.82773989e+01
21,50,5,1.12218576e+03
22,50,5,1.12388359e+01
23,50,5,5.43285177e+03
24,50,5,2.04589217e+02
25,50,5,2.77133205e+02
26,50,5,3.03452443e+02
27,50,5,4.36922563e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,3.16773952e+03
3,50,6,1.39431820e+01
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,1.93465886e+00
8,50,6,2.07982830e+01
9,50,6,5.32629281e+01
10,50,6,0.00000000e+00
11,50,6,0.00000000e+00
12,50,6,1.40517453e+01
13,50,6,1.23459603e+01
14,50,6,4.31427141e-01
15,50,6,6.78938709e+03
16,50,6,1.31912714e+00
17,50,6,5.07881517e+01
18,50,6,1.05787251e+02
19,50,6,2.42295760e+00
20,50,6,1.73969879e+01
21,50,6,1.12218576e+03
22,50,6,1.44236568e+01
23,50,6,6.23120624e+03
24,50,6,2.07887114e+02
25,50,6,2.74552210e+02
26,50,6,2.00006480e+02
27,50,6,4.05135219e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.36008126e+03
3,50,7,5.06082923e+01
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,1.15471098e-01
8,50,7,2.06170356e+01
9,50,7,5.57180609e+01
10,50,7,1.96777346e-02
11,50,7,4.07554630e-08
12,50,7,1.62267698e+01
13,50,7,2.17488621e+01
14,50,7,3.60712757e-01
15,50,7,6.96268917e+03
16,50,7,7.50660633e-01
17,50,7,5.07860614e+01
18,50,7,1.10042212e+02
19,50,7,2.66792356e+00
20,50,7,1.83635095e+01
21,50,7,1.12218576e+03
22,50,7,1.27889964e+01
23,50,7,5.66339610e+03
24,50,7,2.10658747e+02
25,50,7,2.76219454e+02
26,50,7,3.08519319e+02
27,50,7,5.18540852e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,4.45248682e+02
3,50,8,2.66364149e+00
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,1.83774951e+00
8,50,8,2.11416100e+01
9,50,8,5.17750649e+01
10,50,8,9.85728461e-03
11,50,8,0.00000000e+00
12,50,8,1.96853563e+01
13,50,8,1.41150406e+01
14,50,8,2.97940362e-01
15,50,8,6.43880977e+03
16,50,8,7.20032706e-01
17,50,8,5.07913053e+01
18,50,8,1.02358231e+02
19,50,8,2.75086501e+00
20,50,8,1.80555340e+01
21,50,8,1.12218576e+03
22,50,8,1.53858313e+01
23,50,8,6.25310772e+03
24,50,8,2.09646276e+02
25,50,8,2.68894089e+02
26,50,8,3.11133525e+02
27,50,8,4.85824906e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
