Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,2.30160874e+03
3,50,1,3.12671866e+01
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,2.93095845e+00
8,50,1,2.09812277e+01
9,50,1,4.72772446e+01
10,50,1,7.39604033e-03
11,50,1,0.00000000e+00
12,50,1,1.64836520e+01
13,50,1,2.42378449e+01
14,50,1,2.28203018e+00
15,50,1,6.99423555e+03
16,50,1,1.23910009e+00
17,50,1,5.08196554e+01
18,50,1,1.16546586e+02
19,50,1,2.78911455e+00
20,50,1,1.71571862e+01
21,50,1,1.12218576e+03
22,50,1,1.56881796e+01
23,50,1,5.84852610e+03
24,50,1,2.14076254e+02
25,50,1,2.73669854e+02
26,50,1,3.05897650e+02
27,50,1,3.57477618e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,1.48948859e+02
3,50,2,1.63576273e+02
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,2.17835175e+00
8,50,2,2.11457469e+01
9,50,2,5.35626586e+01
10,50,2,0.00000000e+00
11,50,2,0.00000000e+00
12,50,2,1.60164252e+01
13,50,2,2.68983495e+01
14,50,2,3.28658909e-01
15,50,2,6.42138820e+03
16,50,2,1.21803412e+00
17,50,2,5.07954474e+01
18,50,2,1.07464111e+02
19,50,2,2.50082132e+00
20,50,2,1.74065058e+01
21,50,2,1.12218576e+03
22,50,2,1.71339780e+01
23,50,2,5.20721033e+03
24,50,2,2.08474608e+02
25,50,2,2.79422584e+02
26,50,2,2.00001000e+02
27,50,2,3.99998089e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.68753776e+03
3,50,3,1.62828511e+02
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.12192594e+00
8,50,3,2.08713830e+01
9,50,3,5.50026037e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.08921793e+01
13,50,3,1.43724244e+01
14,50,3,6.96440195e-01
15,50,3,6.54084853e+03
16,50,3,1.38494829e+00
17,50,3,5.08281029e+01
18,50,3,9.73891305e+01
19,50,3,2.43598300e+00
20,50,3,1.83566757e+01
21,50,3,2.00000000e+02
22,50,3,1.44535978e+01
23,50,3,5.87867967e+03
24,50,3,2.04062699e+02
25,50,3,2.71520943e+02
26,50,3,2.00000762e+02
27,50,3,4.75381398e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,4.96359817e+01
3,50,4,7.44383325e-02
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,3.90657177e+00
8,50,4,2.10973628e+01
9,50,4,5.42265679e+01
10,50,4,1.72361119e-02
11,50,4,0.00000000e+00
12,50,4,1.61750698e+01
13,50,4,3.72253906e+01
14,50,4,2.91676364e-01
15,50,4,6.07379530e+03
16,50,4,1.23826303e+00
17,50,4,5.07963659e+01
18,50,4,1.03077275e+02
19,50,4,2.31964114e+00
20,50,4,1.83060752e+01
21,50,4,1.12218576e+03
22,50,4,1.22422429e+01
23,50,4,5.63730451e+03
24,50,4,2.19187131e+02
25,50,4,2.83591172e+02
26,50,4,3.04494978e+02
27,50,4,4.81173494e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,6.19662455e+02
3,50,5,2.42135981e+01
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,9.43764208e-01
8,50,5,2.08930428e+01
9,50,5,5.23903231e+01
10,50,5,9.86467206e-03
11,50,5,0.00000000e+00
12,50,5,1.66890282e+01
13,50,5,2.47764413e+01
14,50,5,3.28391357e-01
15,50,5,6.44278690e+03
16,50,5,1.31047875e+00
17,50,5,5.07933480e+01
18,50,5,8.35014123e+01
19,50,5,2.79409865e+00
20,50,5,1.84182481e+01
21,50,5,1.12218576e+03
22,50,5,1.52642928e+01
23,50,5,6.10337885e+03
24,50,5,2.02003376e+02
25,50,5,2.85241356e+02
26,50,5,3.00648918e+02
27,50,5,3.54904885e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.29895531e+03
3,50,6,8.55698994e+03
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,2.65345749e+00
8,50,6,2.07802535e+01
9,50,6,5.28979108e+01
10,50,6,7.39604033e-03
11,50,6,0.00000000e+00
12,50,6,9.81677290e+00
13,50,6,2.29680554e+01
14,50,6,6.27719553e-01
15,50,6,6.59532205e+03
16,50,6,1.40425088e+00
17,50,6,5.07936216e+01
18,50,6,1.06516724e+02
19,50,6,2.54334861e+00
20,50,6,1.76299332e+01
21,50,6,1.12218576e+03
22,50,6,1.71973790e+01
23,50,6,6.08382530e+03
24,50,6,2.15601029e+02
25,50,6,2.70249885e+02
26,50,6,2.00005854e+02
27,50,6,3.89591966e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.23521614e+03
3,50,7,1.92313262e+02
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,6.70355778e-01
8,50,7,2.09365957e+01
9,50,7,5.46642889e+01
10,50,7,0.00000000e+00
11,50,7,0.00000000e+00
12,50,7,1.28136021e+01
13,50,7,1.94336984e+01
14,50,7,3.32660449e-01
15,50,7,6.00773177e+03
16,50,7,1.11949552e+00
17,50,7,5.08104534e+01
18,50,7,9.75736134e+01
19,50,7,2.69899394e+00
20,50,7,1.75386395e+01
21,50,7,2.00000000e+02
22,50,7,1.55345970e+01
23,50,7,5.28677168e+03
24,50,7,2.25528384e+02
25,50,7,2.66311107e+02
26,50,7,2.00001662e+02
27,50,7,4.21919114e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,1.88167090e+03
3,50,8,9.99830468e+01
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,3.96447639e+00
8,50,8,2.10809862e+01
9,50,8,5.43259799e+01
10,50,8,7.39604033e-03
11,50,8,0.00000000e+00
12,50,8,1.37700115e+01
13,50,8,1.94519095e+01
14,50,8,3.94005056e-01
15,50,8,5.49087466e+03
16,50,8,1.02616388e+00
17,50,8,5.07875823e+01
18,50,8,1.04380047e+02
19,50,8,2.26398973e+00
20,50,8,1.84791153e+01
21,50,8,1.12218576e+03
22,50,8,1.37936413e+01
23,50,8,5.16778138e+03
24,50,8,2.28621313e+02
25,50,8,2.72209403e+02
26,50,8,3.08056845e+02
27,50,8,3.87218670e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,2.38720220e+02
3,50,9,3.46498210e+02
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,1.10252145e+00
8,50,9,2.11292581e+01
9,50,9,5.29393956e+01
10,50,9,0.00000000e+00
11,50,9,0.00000000e+00
12,50,9,1.48537338e+01
13,50,9,2.10524823e+01
14,50,9,2.37618101e-01
15,50,9,6.94086839e+03
16,50,9,1.27612846e+00
17,50,9,5.07864809e+01
18,50,9,1.04202111e+02
19,50,9,2.69502168e+00
20,50,9,1.75629758e+01
21,50,9,1.12218576e+03
22,50,9,1.28446979e+01
23,50,9,5.77659862e+03
24,50,9,2.11108349e+02
25,50,9,2.82330769e+02
26,50,9,2.00001016e+02
27,50,9,5.09952867e+02
28,50,9,4.00000000e+02
1,50,10,0.00000000e+00
2,50,10,6.97325444e+02
3,50,10,1.08310008e+05
4,50,10,0.00000000e+00
5,50,10,0.00000000e+00
6,50,10,4.34473315e+01
7,50,10,3.25948426e+00
8,50,10,2.09552042e+01
9,50,10,5.40027487e+01
10,50,10,9.85728461e-03
11,50,10,0.00000000e+00
12,50,10,1.24737008e+01
13,50,10,1.27626868e+01
14,50,10,2.91271628e-01
15,50,10,6.44650047e+03
16,50,10,1.32076523e+00
17,50,10,5.08052578e+01
18,50,10,9.45106586e+01
19,50,10,2.72661729e+00
20,50,10,1.81706233e+01
21,50,10,1.12218576e+03
22,50,10,1.70452022e+01
23,50,10,5.72040214e+03
24,50,10,2.16309431e+02
25,50,10,2.80038172e+02
26,50,10,2.00003725e+02
27,50,10,4.01428268e+02
28,50,10,4.00000000e+02
1,50,11,0.00000000e+00
2,50,11,2.83208163e+03
3,50,11,8.32864260e+04
4,50,11,0.00000000e+00
5,50,11,0.00000000e+00
6,50,11,4.34473315e+01
7,50,11,1.13898633e+00
8,50,11,2.11592287e+01
9,50,11,5.21823136e+01
10,50,11,0.00000000e+00
11,50,11,1.34656712e-08
12,50,11,1.53981097e+01
13,50,11,1.28407099e+01
14,50,11,6.98831309e-01
15,50,11,6.77612094e+03
16,50,11,6.00417426e-01
17,50,11,5.08177318e+01
18,50,11,1.03237959e+02
19,50,11,2.63917607e+00
20,50,11,1.74025970e+01
21,50,11,1.12218576e+03
22,50,11,1.30234986e+01
23,50,11,6.06382994e+03
24,50,11,2.08636399e+02
25,50,11,2.72425364e+02
26,50,11,2.00000933e+02
27,50,11,3.62227454e+02
28,50,11,4.00000000e+02
1,50,12,0.00000000e+00
2,50,12,6.60128566e+02
3,50,12,2.97418942e+01
4,50,12,0.00000000e+00
5,50,12,0.00000000e+00
6,50,12,4.34473315e+01
7,50,12,1.42403274e-01
8,50,12,2.10985588e+01
9,50,12,5.52505686e+01
10,50,12,1.23209889e-02
11,50,12,0.00000000e+00
12,50,12,1.70349811e+01
13,50,12,2.55855138e+01
14,50,12,3.93627222e-01
15,50,12,6.21264161e+03
16,50,12,9.85333781e-01
17,50,12,5.08128580e+01
18,50,12,1.04235301e+02
19,50,12,2.63825936e+00
20,50,12,1.79166949e+01
21,50,12,1.12235368e+03
22,50,12,1.62293274e+01
23,50,12,6.02906079e+03
24,50,12,2.09719861e+02
25,50,12,2.78866424e+02
26,50,12,2.00002520e+02
27,50,12,4.16443137e+02
28,50,12,4.00000000e+02
1,50,13,0.00000000e+00
2,50,13,1.32922949e+03
3,50,13,3.52909002e+01
4,50,13,0.00000000e+00
5,50,13,0.00000000e+00
6,50,13,4.34473315e+01
7,50,13,2.24996175e+00
8,50,13,2.09936440e+01
9,50,13,5.37702978e+01
10,50,13,9.86467206e-03
11,50,13,0.00000000e+00
12,50,13,1.47553659e+01
13,50,13,1.78451039e+01
14,50,13,2.73114378e-01
15,50,13,6.37854721e+03
16,50,13,1.16507633e+00
17,50,13,5.07895175e+01
18,50,13,1.07697785e+02
19,50,13,2.90658769e+00
20,50,13,1.72267679e+01
21,50,13,1.12218576e+03
22,50,13,1.45562011e+01
23,50,13,5.68451323e+03
24,50,13,2.02320153e+02
25,50,13,2.74013523e+02
26,50,13,2.00003007e+02
27,50,13,4.67158212e+02
28,50,13,4.00000000e+02
1,50,14,0.00000000e+00
2,50,14,9.39736548e+02
3,50,14,2.49903270e+04
4,50,14,0.00000000e+00
5,50,14,0.00000000e+00
6,50,14,4.34473315e+01
7,50,14,2.25705610e+00
8,50,14,2.11385808e+01
9,50,14,5.40719315e+01
10,50,14,7.39604033e-03
11,50,14,0.00000000e+00
12,50,14,7.77272696e+00
13,50,14,1.64003773e+01
14,50,14,2.57573526e-01
15,50,14,5.89829949e+03
16,50,14,1.31442784e+00
17,50,14,5.07884753e+01
18,50,14,1.07900478e+02
19,50,14,2.60427113e+00
20,50,14,1.76558158e+01
21,50,14,1.12218576e+03
22,50,14,1.65161324e+01
23,50,14,5.65082223e+03
24,50,14,2.14366705e+02
25,50,14,2.90708689e+02
26,50,14,3.05581542e+02
27,50,14,4.88991378e+02
28,50,14,4.00000000e+02
1,50,15,0.00000000e+00
2,50,15,6.75071414e+02
3,50,15,5.09632121e+03
4,50,15,0.00000000e+00
5,50,15,0.00000000e+00
6,50,15,4.34473315e+01
7,50,15,2.92974978e+00
8,50,15,2.07631410e+01
9,50,15,5.19339949e+01
10,50,15,0.00000000e+00
11,50,15,0.00000000e+00
12,50,15,1.37075045e+01
13,50,15,2.78853168e+01
14,50,15,2.21527084e-01
15,50,15,6.07310198e+03
16,50,15,1.40267824e+00
17,50,15,5.08142595e+01
18,50,15,9.97334315e+01
19,50,15,2.48512697e+00
20,50,15,1.81627306e+01
21,50,15,1.12218576e+03
22,50,15,1.22148080e+01
23,50,15,6.41553577e+03
24,50,15,2.06363966e+02
25,50,15,2.79569482e+02
26,50,15,2.00003297e+02
27,50,15,3.34124517e+02
28,50,15,4.00000000e+02
1,50,16,0.00000000e+00
2,50,16,2.45843584e+02
3,50,16,3.69613846e+03
4,50,16,0.00000000e+00
5,50,16,0.00000000e+00
6,50,16,4.34473315e+01
7,50,16,6.02140101e+00
8,50,16,2.10966391e+01
9,50,16,5.09714977e+01
10,50,16,1.72262939e-02
11,50,16,0.00000000e+00
12,50,16,1.83020620e+01
13,50,16,1.12747908e+01
14,50,16,2.75171429e-01
15,50,16,6.82617371e+03
16,50,16,1.04005752e+00
17,50,16,5.07908584e+01
18,50,16,9.93348486e+01
19,50,16,2.64770929e+00
20,50,16,1.71153579e+01
21,50,16,1.12218576e+03
22,50,16,1.43548090e+01
23,50,16,5.74957625e+03
24,50,16,2.09150170e+02
25,50,16,2.72580426e+02
26,50,16,2.00000528e+02
27,50,16,3.75177657e+02
28,50,16,4.00000000e+02
1,50,17,0.00000000e+00
2,50,17,1.48778775e+03
3,50,17,7.72669637e+03
4,50,17,0.00000000e+00
5,50,17,0.00000000e+00
6,50,17,4.34473315e+01
7,50,17,2.37357368e+00
8,50,17,2.10563116e+01
9,50,17,5.47513508e+01
10,50,17,9.86467206e-03
11,50,17,0.00000000e+00
12,50,17,1.01812728e+01
13,50,17,3.02553319e+01
14,50,17,1.00557018e+00
15,50,17,5.92367062e+03
16,50,17,1.39185304e+00
17,50,17,5.08029312e+01
18,50,17,1.07012612e+02
19,50,17,2.85938945e+00
20,50,17,1.79476584e+01
21,50,17,1.12218576e+03
22,50,17,1.41903780e+01
23,50,17,5.91862485e+03
24,50,17,2.12984738e+02
25,50,17,2.71767912e+02
26,50,17,2.00000568e+02
27,50,17,3.58989704e+02
28,50,17,4.00000000e+02
1,50,18,0.00000000e+00
2,50,18,2.62863499e+03
3,50,18,3.14034380e+00
4,50,18,0.00000000e+00
5,50,18,0.00000000e+00
6,50,18,4.34473315e+01
7,50,18,5.78396022e-01
8,50,18,2.10253472e+01
9,50,18,5.60428531e+01
10,50,18,1.23160725e-02
11,50,18,0.00000000e+00
12,50,18,1.67737245e+01
13,50,18,2.05944912e+01
14,50,18,2.69919844e-01
15,50,18,5.83713890e+03
16,50,18,1.36275501e+00
17,50,18,5.08193093e+01
18,50,18,9.69650105e+01
19,50,18,2.40170152e+00
20,50,18,1.74074687e+01
21,50,18,2.00000000e+02
22,50,18,1.29510123e+01
23,50,18,4.55993662e+03
24,50,18,2.19199896e+02
25,50,18,2.71450676e+02
26,50,18,2.00001418e+02
27,50,18,7.38762845e+02
28,50,18,4.00000000e+02
1,50,19,0.00000000e+00
2,50,19,8.11237450e+02
3,50,19,7.12218484e+04
4,50,19,0.00000000e+00
5,50,19,0.00000000e+00
6,50,19,4.34473315e+01
7,50,19,1.14356526e+00
8,50,19,2.10631584e+01
9,50,19,5.18004790e+01
10,50,19,0.00000000e+00
11,50,19,0.00000000e+00
12,50,19,1.40935477e+01
13,50,19,2.11895575e+01
14,50,19,9.32170700e-01
15,50,19,6.08927001e+03
16,50,19,4.76262658e-01
17,50,19,5.08051326e+01
18,50,19,1.16943828e+02
19,50,19,2.73792382e+00
20,50,19,1.81009235e+01
21,50,19,2.00000000e+02
22,50,19,1.68591907e+01
23,50,19,5.13232592e+03
24,50,19,2.12554432e+02
25,50,19,2.64598101e+02
26,50,19,2.00005120e+02
27,50,19,3.57442495e+02
28,50,19,4.00000000e+02
1,50,20,0.00000000e+00
2,50,20,6.12894204e+02
3,50,20,1.39847506e+03
4,50,20,0.00000000e+00
5,50,20,0.00000000e+00
6,50,20,4.34473315e+01
7,50,20,3.86058406e+00
8,50,20,2.08020663e+01
9,50,20,5.55124378e+01
10,50,20,1.23209889e-02
11,50,20,0.00000000e+00
12,50,20,1.62874643e+01
13,50,20,1.93980776e+01
14,50,20,1.03334713e+00
15,50,20,5.64654478e+03
16,50,20,1.38119975e+00
17,50,20,5.08065770e+01
18,50,20,1.12233538e+02
19,50,20,2.72308973e+00
20,50,20,1.75866378e+01
21,50,20,1.12218576e+03
22,50,20,1.34940447e+01
23,50,20,5.46539722e+03
24,50,20,2.14071639e+02
25,50,20,2.86504322e+02
26,50,20,3.08029747e+02
27,50,20,3.56688238e+02
28,50,20,4.00000000e+02
1,50,21,0.00000000e+00
2,50,21,2.18793260e+03
3,50,21,4.13011881e-01
4,50,21,0.00000000e+00
5,50,21,0.00000000e+00
6,50,21,4.34473315e+01
7,50,21,3.09270001e+00
8,50,21,2.11228972e+01
9,50,21,5.57733273e+01
10,50,21,0.00000000e+00
11,50,21,6.59555131e-08
12,50,21,1.63932832e+01
13,50,21,3.63935014e+01
14,50,21,3.94959506e-01
15,50,21,6.81556851e+03
16,50,21,1.06430241e+00
17,50,21,5.08142777e+01
18,50,21,1.01875761e+02
19,50,21,2.58623646e+00
20,50,21,1.72839709e+01
21,50,21,1.12218576e+03
22,50,21,1.97235835e+01
23,50,21,5.86751690e+03
24,50,21,2.11632529e+02
