Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,2.60031497e+03
3,50,1,1.42901250e+03
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,7.91289148e-01
8,50,1,2.09671259e+01
9,50,1,5.06793964e+01
10,50,1,1.23209889e-02
11,50,1,0.00000000e+00
12,50,1,1.80040316e+01
13,50,1,2.72135476e+01
14,50,1,2.49365065e-01
15,50,1,6.14459389e+03
16,50,1,6.06439674e-01
17,50,1,5.08065199e+01
18,50,1,1.07168885e+02
19,50,1,2.57979866e+00
20,50,1,1.78213997e+01
21,50,1,2.00000000e+02
22,50,1,1.65027793e+01
23,50,1,5.82441611e+03
24,50,1,2.23116265e+02
25,50,1,2.81063741e+02
26,50,1,2.00004151e+02
27,50,1,4.01936273e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.35669134e+01
3,50,2,7.59944082e+02
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,8.01670956e-01
8,50,2,2.08179248e+01
9,50,2,5.31544421e+01
10,50,2,1.47797768e-02
11,50,2,0.00000000e+00
12,50,2,2.02899881e+01
13,50,2,1.68715919e+01
14,50,2,2.25053927e-01
15,50,2,5.74525745e+03
16,50,2,3.62982376e-01
17,50,2,5.07911892e+01
18,50,2,9.52790153e+01
19,50,2,2.71655541e+00
20,50,2,1.75321720e+01
21,50,2,2.00000000e+02
22,50,2,1.65216017e+01
23,50,2,5.86350450e+03
24,50,2,2.08324240e+02
25,50,2,2.76465002e+02
26,50,2,2.00001264e+02
27,50,2,4.13430809e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.13495509e+03
3,50,3,1.06925526e+03
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,2.20435777e+00
8,50,3,2.08973215e+01
9,50,3,5.33406933e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.46600850e+01
13,50,3,2.84302227e+01
14,50,3,8.56661852e-01
15,50,3,6.31492386e+03
16,50,3,1.26342627e+00
17,50,3,5.07937956e+01
18,50,3,1.12724449e+02
19,50,3,2.23973071e+00
20,50,3,1.80865820e+01
21,50,3,1.12218576e+03
22,50,3,1.68250403e+01
23,50,3,6.37770538e+03
24,50,3,2.10927304e+02
25,50,3,2.66841525e+02
26,50,3,2.00000591e+02
27,50,3,4.26619759e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,1.06316557e+03
3,50,4,8.16593915e+02
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,5.21195851e+00
8,50,4,2.11064153e+01
9,50,4,5.16444016e+01
10,50,4,7.39604033e-03
11,50,4,1.19989565e-08
12,50,4,1.58908812e+01
13,50,4,2.02912367e+01
14,50,4,3.13723654e-01
15,50,4,6.42418018e+03
16,50,4,1.34225929e+00
17,50,4,5.07902886e+01
18,50,4,1.11833057e+02
19,50,4,2.82041485e+00
20,50,4,1.70629160e+01
21,50,4,2.00000000e+02
22,50,4,1.39546697e+01
23,50,4,5.81077575e+03
24,50,4,2.14691238e+02
25,50,4,2.81488779e+02
26,50,4,2.00002957e+02
27,50,4,4.98648223e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,6.70825873e+02
3,50,5,1.80563605e+03
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,1.11389139e+00
8,50,5,2.07701344e+01
9,50,5,5.48826612e+01
10,50,5,1.23209889e-02
11,50,5,0.00000000e+00
12,50,5,1.33683817e+01
13,50,5,1.98533291e+01
14,50,5,5.92803244e-01
15,50,5,6.54433129e+03
16,50,5,1.09708722e+00
17,50,5,5.07983190e+01
18,50,5,1.06168374e+02
19,50,5,2.30006762e+00
20,50,5,1.69248978e+01
21,50,5,1.12218576e+03
22,50,5,1.27406983e+01
23,50,5,5.66922874e+03
24,50,5,2.09800010e+02
25,50,5,2.76900862e+02
26,50,5,2.00001173e+02
27,50,5,3.87098228e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.01095885e+02
3,50,6,5.77664495e+04
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,2.10607501e+00
8,50,6,2.11232243e+01
9,50,6,5.27479888e+01
10,50,6,0.00000000e+00
11,50,6,0.00000000e+00
12,50,6,1.31747521e+01
13,50,6,1.31528135e+01
14,50,6,5.96953699e-01
15,50,6,5.66798032e+03
16,50,6,1.40119154e+00
17,50,6,5.08070485e+01
18,50,6,1.03087994e+02
19,50,6,2.42265737e+00
20,50,6,1.74936271e+01
21,50,6,2.00000000e+02
22,50,6,1.64616795e+01
23,50,6,5.68471337e+03
24,50,6,2.14281206e+02
25,50,6,2.84430707e+02
26,50,6,3.03526739e+02
27,50,6,3.19729477e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.63365020e+02
3,50,7,1.89087229e+04
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,2.22887487e+00
8,50,7,2.10763419e+01
9,50,7,5.45110869e+01
10,50,7,7.39604033e-03
11,50,7,0.00000000e+00
12,50,7,9.69821820e+00
13,50,7,1.22600602e+01
14,50,7,3.41026800e-01
15,50,7,6.17825050e+03
16,50,7,1.12599707e+00
17,50,7,5.08126635e+01
18,50,7,1.04889223e+02
19,50,7,2.74239018e+00
20,50,7,1.78815173e+01
21,50,7,2.00000000e+02
22,50,7,1.23676066e+01
23,50,7,5.94869732e+03
24,50,7,2.06804497e+02
25,50,7,2.77002515e+02
26,50,7,2.00002493e+02
27,50,7,4.42304373e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,1.70060617e+03
3,50,8,1.43538039e+04
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,3.98981450e+00
8,50,8,2.11472533e+01
9,50,8,5.48111465e+01
10,50,8,7.39604033e-03
11,50,8,0.00000000e+00
12,50,8,1.61195888e+01
13,50,8,2.86480551e+01
14,50,8,3.71149872e-01
15,50,8,6.59158494e+03
16,50,8,1.07040935e+00
17,50,8,5.07949983e+01
18,50,8,1.06036747e+02
19,50,8,2.64717123e+00
20,50,8,1.80605664e+01
21,50,8,1.12218576e+03
22,50,8,1.32026658e+01
23,50,8,5.24340350e+03
24,50,8,2.08799322e+02
25,50,8,2.88936090e+02
26,50,8,3.07041491e+02
27,50,8,4.88071934e+02
28,50,8,4.00000000e+02
1,50,9,0.00000000e+00
2,50,9,2.26368090e+03
3,50,9,3.26089850e+00
4,50,9,0.00000000e+00
5,50,9,0.00000000e+00
6,50,9,4.34473315e+01
7,50,9,4.86627320e+00
8,50,9,2.11186348e+01
9,50,9,5.58887785e+01
10,50,9,9.86467206e-03
11,50,9,0.00000000e+00
12,50,9,1.37829709e+01
13,50,9,2.56589396e+01
14,50,9,2.72354474e-01
15,50,9,6.19446025e+03
16,50,9,1.07334459e+00
17,50,9,5.08002919e+01
18,50,9,9.46707185e+01
