Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,1.34142949e+03
3,50,1,1.30388080e+02
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,5.37425461e-01
8,50,1,2.09095803e+01
9,50,1,5.74573034e+01
10,50,1,2.71007838e-02
11,50,1,0.00000000e+00
12,50,1,1.41652130e+01
13,50,1,3.00960792e+01
14,50,1,1.88633313e-01
15,50,1,6.34110102e+03
16,50,1,1.32019190e+00
17,50,1,5.08033394e+01
18,50,1,1.08889756e+02
19,50,1,2.51313089e+00
20,50,1,1.79444404e+01
21,50,1,1.12218576e+03
22,50,1,1.52294781e+01
23,50,1,5.45663752e+03
24,50,1,2.07966832e+02
25,50,1,2.79370507e+02
26,50,1,3.01418355e+02
27,50,1,3.97635477e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,4.43296620e+01
3,50,2,1.03027752e+03
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,3.58282479e-01
8,50,2,2.11202064e+01
9,50,2,5.22837393e+01
10,50,2,9.86467206e-03
11,50,2,0.00000000e+00
12,50,2,1.74592669e+01
13,50,2,2.78794996e+01
14,50,2,2.29235483e-01
15,50,2,5.87701553e+03
16,50,2,1.24425412e+00
17,50,2,5.08288996e+01
18,50,2,1.05782455e+02
19,50,2,2.64334231e+00
20,50,2,1.75517070e+01
21,50,2,1.12218576e+03
22,50,2,1.48725625e+01
23,50,2,4.98705066e+03
24,50,2,2.11162098e+02
25,50,2,2.73972484e+02
26,50,2,3.02207810e+02
27,50,2,3.43499182e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,2.42294211e+02
3,50,3,7.24929345e+01
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,1.81753041e+00
8,50,3,2.08773659e+01
9,50,3,5.22313147e+01
10,50,3,0.00000000e+00
11,50,3,0.00000000e+00
12,50,3,1.17197411e+01
13,50,3,1.76263346e+01
14,50,3,1.70322557e-01
15,50,3,6.29491303e+03
16,50,3,1.57378713e+00
17,50,3,5.08290903e+01
18,50,3,1.05536353e+02
19,50,3,2.39452680e+00
20,50,3,1.70359579e+01
21,50,3,1.12218576e+03
22,50,3,1.85078397e+01
23,50,3,5.49809264e+03
24,50,3,2.07102338e+02
25,50,3,2.91485681e+02
26,50,3,3.08888646e+02
27,50,3,4.39760803e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,5.65881197e+02
3,50,4,5.45917669e+01
4,50,4,0.00000000e+00
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,3.08458865e+00
8,50,4,2.10980444e+01
9,50,4,5.36394919e+01
10,50,4,2.46370611e-02
