Function,Dimension,Run,Error
1,50,1,0.00000000e+00
2,50,1,9.52782731e+01
3,50,1,6.20227050e+02
4,50,1,0.00000000e+00
5,50,1,0.00000000e+00
6,50,1,4.34473315e+01
7,50,1,6.54296751e-01
8,50,1,2.11437992e+01
9,50,1,5.23748549e+01
10,50,1,9.86467206e-03
11,50,1,0.00000000e+00
12,50,1,1.98579941e+01
13,50,1,2.53230966e+01
14,50,1,3.36053061e-01
15,50,1,6.10124264e+03
16,50,1,1.51934731e-01
17,50,1,5.07944120e+01
18,50,1,9.93953058e+01
19,50,1,2.69582358e+00
20,50,1,1.77967347e+01
21,50,1,1.12218576e+03
22,50,1,1.56225749e+01
23,50,1,6.12037160e+03
24,50,1,2.12843765e+02
25,50,1,2.84144030e+02
26,50,1,3.07940070e+02
27,50,1,3.92565061e+02
28,50,1,4.00000000e+02
1,50,2,0.00000000e+00
2,50,2,5.72535471e+02
3,50,2,6.50278852e+01
4,50,2,0.00000000e+00
5,50,2,0.00000000e+00
6,50,2,4.34473315e+01
7,50,2,4.27822892e+00
8,50,2,2.09499602e+01
9,50,2,5.23926421e+01
10,50,2,7.39604033e-03
11,50,2,0.00000000e+00
12,50,2,1.63663639e+01
13,50,2,2.54124391e+01
14,50,2,5.29502776e-01
15,50,2,6.56641251e+03
16,50,2,4.94810088e-01
17,50,2,5.08019186e+01
18,50,2,9.92260988e+01
19,50,2,2.63664440e+00
20,50,2,1.83960965e+01
21,50,2,1.12218576e+03
22,50,2,1.54038027e+01
23,50,2,4.93330007e+03
24,50,2,2.10189523e+02
25,50,2,2.59081032e+02
26,50,2,2.00006115e+02
27,50,2,3.94767231e+02
28,50,2,4.00000000e+02
1,50,3,0.00000000e+00
2,50,3,1.68949715e+03
3,50,3,3.10594111e+04
4,50,3,0.00000000e+00
5,50,3,0.00000000e+00
6,50,3,4.34473315e+01
7,50,3,2.84873153e+00
8,50,3,2.11617243e+01
9,50,3,5.13622778e+01
10,50,3,9.86467206e-03
11,50,3,0.00000000e+00
12,50,3,1.72395922e+01
13,50,3,1.57487470e+01
14,50,3,3.88491483e-01
15,50,3,6.27046897e+03
16,50,3,1.12609113e+00
17,50,3,5.07917372e+01
18,50,3,1.16159397e+02
19,50,3,2.58866743e+00
20,50,3,1.68527826e+01
21,50,3,1.12218576e+03
22,50,3,1.44460237e+01
23,50,3,5.46572611e+03
24,50,3,2.10572037e+02
25,50,3,2.68946659e+02
26,50,3,3.04030357e+02
27,50,3,3.90231460e+02
28,50,3,4.00000000e+02
1,50,4,0.00000000e+00
2,50,4,1.20346835e+03
3,50,4,5.71800910e+04
4,50,4,5.47454633e-08
5,50,4,0.00000000e+00
6,50,4,4.34473315e+01
7,50,4,1.72344995e-01
8,50,4,2.09868616e+01
9,50,4,5.34832014e+01
10,50,4,0.00000000e+00
11,50,4,0.00000000e+00
12,50,4,1.60144722e+01
13,50,4,2.70250237e+01
14,50,4,2.54822994e-01
15,50,4,5.65579980e+03
16,50,4,1.24435306e+00
17,50,4,5.07857854e+01
18,50,4,1.02423090e+02
19,50,4,2.47716537e+00
20,50,4,1.86187414e+01
21,50,4,2.00000000e+02
22,50,4,1.34237680e+01
23,50,4,5.26836375e+03
24,50,4,2.07846824e+02
25,50,4,2.77503176e+02
26,50,4,2.00002303e+02
27,50,4,3.52599162e+02
28,50,4,4.00000000e+02
1,50,5,0.00000000e+00
2,50,5,1.94892322e+02
3,50,5,1.78070643e+00
4,50,5,0.00000000e+00
5,50,5,0.00000000e+00
6,50,5,4.34473315e+01
7,50,5,2.13889947e+00
8,50,5,2.11604313e+01
9,50,5,5.08412653e+01
10,50,5,9.85728461e-03
11,50,5,0.00000000e+00
12,50,5,1.51312170e+01
13,50,5,1.89252530e+01
14,50,5,2.70619742e-01
15,50,5,5.97322946e+03
16,50,5,1.58574130e+00
17,50,5,5.07980907e+01
18,50,5,1.01214622e+02
19,50,5,2.49577566e+00
20,50,5,1.75897847e+01
21,50,5,1.12218576e+03
22,50,5,1.69809450e+01
23,50,5,5.55036833e+03
24,50,5,2.26802690e+02
25,50,5,2.87815576e+02
26,50,5,2.00000506e+02
27,50,5,3.75842720e+02
28,50,5,4.00000000e+02
1,50,6,0.00000000e+00
2,50,6,1.32633008e+03
3,50,6,1.22172828e+00
4,50,6,0.00000000e+00
5,50,6,0.00000000e+00
6,50,6,4.34473315e+01
7,50,6,1.66579070e+00
8,50,6,2.10992622e+01
9,50,6,5.40726246e+01
10,50,6,7.39604033e-03
11,50,6,4.80115521e-08
12,50,6,1.44235845e+01
13,50,6,2.39447170e+01
14,50,6,1.36032351e-01
15,50,6,6.28902907e+03
16,50,6,1.28365376e+00
17,50,6,5.07975552e+01
18,50,6,9.70567122e+01
19,50,6,2.49437090e+00
20,50,6,1.84300837e+01
21,50,6,1.12218576e+03
22,50,6,1.39871430e+01
23,50,6,5.86072298e+03
24,50,6,2.01387704e+02
25,50,6,2.68964138e+02
26,50,6,2.00001486e+02
27,50,6,4.69594417e+02
28,50,6,4.00000000e+02
1,50,7,0.00000000e+00
2,50,7,1.30202121e+03
3,50,7,1.20651352e+05
4,50,7,0.00000000e+00
5,50,7,0.00000000e+00
6,50,7,4.34473315e+01
7,50,7,3.71211045e+00
8,50,7,2.08310680e+01
9,50,7,5.48482108e+01
10,50,7,0.00000000e+00
11,50,7,1.26570345e-08
12,50,7,1.37006556e+01
13,50,7,2.16295565e+01
14,50,7,2.18704194e-01
15,50,7,6.51677341e+03
16,50,7,1.23893522e+00
17,50,7,5.07859694e+01
18,50,7,1.06394030e+02
19,50,7,2.42284048e+00
20,50,7,1.74854301e+01
21,50,7,1.12218576e+03
22,50,7,1.70607980e+01
23,50,7,5.88258661e+03
24,50,7,2.17785139e+02
25,50,7,2.88138107e+02
26,50,7,2.00004078e+02
27,50,7,3.82349929e+02
28,50,7,4.00000000e+02
1,50,8,0.00000000e+00
2,50,8,1.75377745e+03
3,50,8,6.95690416e+02
4,50,8,0.00000000e+00
5,50,8,0.00000000e+00
6,50,8,4.34473315e+01
7,50,8,3.42954333e+00
