Function,Statistic,p-value,Buffer Size,Comparison,Config
F1,0.0,,Unlimited,LCG vs MT,Unlimited
F2,610.0,0.6193345073111354,Unlimited,LCG vs MT,Unlimited
F3,630.0,0.7570747669212832,Unlimited,LCG vs MT,Unlimited
F4,0.0,,Unlimited,LCG vs MT,Unlimited
F5,0.0,,Unlimited,LCG vs MT,Unlimited
F6,0.0,,Unlimited,LCG vs MT,Unlimited
F7,575.0,0.40944819102604935,Unlimited,LCG vs MT,Unlimited
F8,560.0,0.33431091331572893,Unlimited,LCG vs MT,Unlimited
F9,609.0,0.6127392711353463,Unlimited,LCG vs MT,Unlimited
F10,467.0,0.7437674569843669,Unlimited,LCG vs MT,Unlimited
F11,53.0,0.6909447568979337,Unlimited,LCG vs MT,Unlimited
F12,637.0,0.8074553206568335,Unlimited,LCG vs MT,Unlimited
F13,590.0,0.49380905517129214,Unlimited,LCG vs MT,Unlimited
F14,657.0,0.9551499779188657,Unlimited,LCG vs MT,Unlimited
F15,642.0,0.8439505534380651,Unlimited,LCG vs MT,Unlimited
F16,545.0,0.26869661608941153,Unlimited,LCG vs MT,Unlimited
F17,659.0,0.9700912297593819,Unlimited,LCG vs MT,Unlimited
F18,611.0,0.6259605267822936,Unlimited,LCG vs MT,Unlimited
F19,658.0,0.9626189628930487,Unlimited,LCG vs MT,Unlimited
F20,611.0,0.6259605267822936,Unlimited,LCG vs MT,Unlimited
F21,91.0,0.860156022070776,Unlimited,LCG vs MT,Unlimited
F22,582.0,0.44770253301902596,Unlimited,LCG vs MT,Unlimited
F23,658.0,0.9626189628930487,Unlimited,LCG vs MT,Unlimited
F24,604.0,0.5802397554328312,Unlimited,LCG vs MT,Unlimited
F25,391.0,0.010785183885585607,Unlimited,LCG vs MT,Unlimited
F26,629.0,0.7499556273330805,Unlimited,LCG vs MT,Unlimited
F27,452.0,0.04795110319059432,Unlimited,LCG vs MT,Unlimited
F28,0.0,,Unlimited,LCG vs MT,Unlimited
F1,0.0,,2500000.0,True vs LCG,Shuffle
F2,578.0,0.4255993270988646,2500000.0,True vs LCG,Shuffle
F3,629.0,0.7499556273330805,2500000.0,True vs LCG,Shuffle
F4,2.0,0.27332167829229814,2500000.0,True vs LCG,Shuffle
F5,0.0,,2500000.0,True vs LCG,Shuffle
F6,0.0,,2500000.0,True vs LCG,Shuffle
F7,408.0,0.016837638766199484,2500000.0,True vs LCG,Shuffle
F8,623.0,0.7077060754186115,2500000.0,True vs LCG,Shuffle
F9,646.0,0.8733939673227593,2500000.0,True vs LCG,Shuffle
F10,412.0,0.10754105879724916,2500000.0,True vs LCG,Shuffle
F11,52.0,0.9749599188317098,2500000.0,True vs LCG,Shuffle
F12,586.0,0.47044392221875886,2500000.0,True vs LCG,Shuffle
F13,650.0,0.9030137998838772,2500000.0,True vs LCG,Shuffle
F14,430.0,0.028960941566213975,2500000.0,True vs LCG,Shuffle
F15,555.0,0.3113781819395105,2500000.0,True vs LCG,Shuffle
F16,608.0,0.6061752519894534,2500000.0,True vs LCG,Shuffle
F17,597.0,0.5361477373800998,2500000.0,True vs LCG,Shuffle
F18,626.0,0.7287278475083228,2500000.0,True vs LCG,Shuffle
F19,410.0,0.017716664287365864,2500000.0,True vs LCG,Shuffle
F20,604.0,0.5802397554328312,2500000.0,True vs LCG,Shuffle
F21,162.0,0.9879375788207151,2500000.0,True vs LCG,Shuffle
F22,615.0,0.6527635040598475,2500000.0,True vs LCG,Shuffle
F23,449.0,0.04486458025585686,2500000.0,True vs LCG,Shuffle
F24,439.0,0.03575906185485149,2500000.0,True vs LCG,Shuffle
F25,602.0,0.5674700263526014,2500000.0,True vs LCG,Shuffle
F26,568.0,0.37320855038196865,2500000.0,True vs LCG,Shuffle
F27,539.0,0.245109610090535,2500000.0,True vs LCG,Shuffle
F28,0.0,,2500000.0,True vs LCG,Shuffle
F1,0.0,,2500000.0,True vs MT,Shuffle
F2,483.0,0.09156028126069608,2500000.0,True vs MT,Shuffle
F3,648.0,0.8881843657796973,2500000.0,True vs MT,Shuffle
F4,2.0,0.27332167829229814,2500000.0,True vs MT,Shuffle
F5,0.0,,2500000.0,True vs MT,Shuffle
F6,0.0,,2500000.0,True vs MT,Shuffle
F7,520.0,0.1801134634267031,2500000.0,True vs MT,Shuffle
F8,630.0,0.7570747669212832,2500000.0,True vs MT,Shuffle
F9,543.0,0.26066700271644416,2500000.0,True vs MT,Shuffle
F10,512.5,0.9549816172366747,2500000.0,True vs MT,Shuffle
F11,68.0,1.0,2500000.0,True vs MT,Shuffle
F12,585.0,0.46469949772563435,2500000.0,True vs MT,Shuffle
F13,523.0,0.18942386941424127,2500000.0,True vs MT,Shuffle
F14,630.0,0.7570747669212832,2500000.0,True vs MT,Shuffle
F15,623.0,0.7077060754186115,2500000.0,True vs MT,Shuffle
F16,608.0,0.6061752519894534,2500000.0,True vs MT,Shuffle
F17,593.0,0.5117323250306174,2500000.0,True vs MT,Shuffle
F18,651.0,0.9104415563099536,2500000.0,True vs MT,Shuffle
F19,575.0,0.40944819102604935,2500000.0,True vs MT,Shuffle
F20,592.0,0.5057204189354021,2500000.0,True vs MT,Shuffle
F21,77.0,0.42790017641948574,2500000.0,True vs MT,Shuffle
F22,538.0,0.24132420678404642,2500000.0,True vs MT,Shuffle
F23,605.0,0.5866747207433314,2500000.0,True vs MT,Shuffle
F24,657.0,0.9551499779188657,2500000.0,True vs MT,Shuffle
F25,607.0,0.5996428760826902,2500000.0,True vs MT,Shuffle
F26,648.0,0.8881843657796973,2500000.0,True vs MT,Shuffle
F27,631.0,0.764214577844195,2500000.0,True vs MT,Shuffle
F28,0.0,,2500000.0,True vs MT,Shuffle
F1,0.0,,2500000.0,True vs LCG,Offset
F2,585.0,0.46469949772563435,2500000.0,True vs LCG,Offset
F3,604.0,0.5802397554328312,2500000.0,True vs LCG,Offset
F4,0.0,0.10880943004054568,2500000.0,True vs LCG,Offset
F5,0.0,,2500000.0,True vs LCG,Offset
F6,0.0,,2500000.0,True vs LCG,Offset
F7,658.0,0.9626189628930487,2500000.0,True vs LCG,Offset
F8,652.0,0.9178771482083954,2500000.0,True vs LCG,Offset
F9,507.0,0.1436697475648359,2500000.0,True vs LCG,Offset
F10,495.5,0.8037365794044253,2500000.0,True vs LCG,Offset
F11,32.0,0.9291527647091152,2500000.0,True vs LCG,Offset
F12,631.0,0.764214577844195,2500000.0,True vs LCG,Offset
F13,584.0,0.4589943061989632,2500000.0,True vs LCG,Offset
F14,648.0,0.8881843657796973,2500000.0,True vs LCG,Offset
F15,542.0,0.2567150712366082,2500000.0,True vs LCG,Offset
F16,600.0,0.5548364429336143,2500000.0,True vs LCG,Offset
F17,592.0,0.5057204189354021,2500000.0,True vs LCG,Offset
F18,282.0,0.0003552261171938317,2500000.0,True vs LCG,Offset
F19,600.0,0.5548364429336143,2500000.0,True vs LCG,Offset
F20,519.0,0.1770868094124466,2500000.0,True vs LCG,Offset
F21,100.0,0.8348273291852392,2500000.0,True vs LCG,Offset
F22,544.0,0.2646608212139634,2500000.0,True vs LCG,Offset
F23,606.0,0.5931425620228769,2500000.0,True vs LCG,Offset
F24,610.0,0.6193345073111354,2500000.0,True vs LCG,Offset
F25,474.0,0.07646343192414391,2500000.0,True vs LCG,Offset
F26,655.0,0.9402244705136732,2500000.0,True vs LCG,Offset
F27,620.0,0.686904766035255,2500000.0,True vs LCG,Offset
F28,0.0,,2500000.0,True vs LCG,Offset
F1,0.0,,2500000.0,True vs MT,Offset
F2,512.0,0.15695315522552944,2500000.0,True vs MT,Offset
F3,545.0,0.26869661608941153,2500000.0,True vs MT,Offset
F4,0.0,0.31731050786291415,2500000.0,True vs MT,Offset
